,n,O(1),O(n),O(logn)
0,10,15,36,19.965784284662085
1,20,31,92,44.25349666421153
2,50,63,276,107.31051858951655
3,100,127,652,221.26489336880783
4,1000,1023,9120,1896.4210154954358
5,5000,8191,61728,12497.283262400204
6,10000,16383,133456,25007.854237179956
