,section,headline,summary,date
0,New York,Power Returns After Widespread Outage in Manhattan Darkens Times Square,"Power was slowly returning to parts of Manhattan Saturday night after a widespread outage plunged subway stations, stores and parts of Times Square into darkness.",20190713
1,Slideshow,A Major Blackout Hits Manhattan,"A swath of Manhattan’s West Side and Midtown was crippled by a power outage Saturday evening, leaving tens of thousands without lights or air conditioning on a hot summer evening.",20190713
2,Politics,Feud Among House Democrats Remains on Public Display,"Acrimony among House Democrats continued to flare on public display into the weekend, despite efforts by House Speaker Nancy Pelosi to keep discord between Democratic leadership and more progressive members private.",20190713
3,World,Crew of Detained Iranian Oil Tanker Is Released in Gibraltar,"Police in the British overseas territory of Gibraltar released the four-member crew of a detained Iranian oil tanker, authorities said, potentially easing tensions between the U.K. and Iran after a week of steady escalation.",20190713
4,IPOs,Investors Balked at Pricing for Canceled Budweiser Listing,"What would have been the year’s biggest IPO flopped after AB InBev and its banks took a series of gambles that didn’t pay off. The world’s biggest brewer halted a nearly $10 billion listing of its Asian unit, blaming market conditions.",20190713
5,Jason Gay,"At Wimbledon, Simona Halep Denies Serena Williams—and History","As a good portion of the crowd seemed ready to watch Serena Williams make history, Simona Halep was happy to play spoiler. The Romanian won the women’s singles title 6-2, 6-2, in a display that was as brusque as it was dominant.",20190713
6,Culture,New York Harbor’s Latest Draw? A Tugboat Tour,"After several years out of service, the W.O. Decker is back on the water. Owned by the South Street Seaport Museum, the 50-foot vessel dating from 1930 is only tugboat in the area offering rides to the public.",20190713
7,HEARD ON THE STREET,Summer Love Isn’t Forever at Netflix,"With competition intensifying, Netflix needs more show stoppers. Unfortunately, those come at a high premium these days.",20190713
8,Culture,Tutors Tag Along on Family Vacations,Wealthy families are paying up to $595 an hour for SAT Prep during getaways.,20190713
9,Business,Oil Giant Shell’s Pivot to Electricity Could Bring Investors Less Sizzle,Royal Dutch Shell aims to become the world’s largest power company by capturing the most profitable part of the business: trading.,20190713
10,Education,Schools Relax Dress Codes in Bid to End Body Shaming,"More school districts are relaxing student dress code policies, allowing students to wear once-forbidden clothing, such as tank tops, short skirts, pajamas, tube tops, hats, skinny jeans, yoga pants and ripped jeans.",20190713
11,Middle East,Syrian Government Intensifies Strikes on Opposition Stronghold,"As rising tensions between the U.S. and Iran draw the world’s attention, the Syrian government and its Russian allies have stepped up airstrikes on Idlib and surrounding areas in a monthslong campaign to recapture the territory.",20190713
12,U.S.,Rebuild or Remain? Columbine Revisits a Question It Thought It Had Answered,"Twenty years after tragedy struck Columbine High School, the community is revisiting an old question: whether to raze and rebuild the school.",20190713
13,Markets,Floor Traders Clash With NYSE,"The New York Stock Exchange is clamping down on errors among its last remaining floor trading firms, a strict disciplinary push that some traders say could drive them out of business.",20190713
14,Asia,U.S. Service Member Killed in Action in Afghanistan,"The U.S. military says an American service member has been killed in action in Afghanistan, but offered no further details about the service member’s identity or circumstances surrounding the death.",20190713
15,Whats News World Wide,What’s News: World-Wide,What’s News: World-Wide,20190713
16,Opinion,Pepper...and Salt,Pepper...and Salt,20190713
17,Tech,FTC Fine Alone Won’t Get Facebook Out of Crosshairs,"Facebook is moving closer to settling a privacy probe by its main U.S. regulator, but the large fine it has prepared to pay is unlikely to get the social-media giant out of the political hot seat in Washington.",20190713
18,Whats News Business Finance,What’s News: Business & Finance,What’s News: Business & Finance,20190713
19,Politics,Trump’s Favorite Ambassador Makes a Very Trumpian Splash in Berlin,"Richard Grenell, the U.S. envoy to Germany, embodies the diplomatic doctrine of the Trump administration and its posture toward allies in Europe: engagement, public criticism that rankles host nations, some achievements and some unbridgeable divides.",20190713
20,U.S.,Justice Department Chiefs Can’t Get Enough of the Patron Saint of the Rule of Law,"Meet the Justice revered by Bill Barr, Rod Rosenstein and Eric Holder.",20190713
21,Markets,SEC Weighs Whether to Regulate Facebook’s Libra,"U.S. securities regulators are examining whether Facebook’s planned cryptocurrency should fall under their oversight, a development that could further complicate the project.",20190713
22,Art Review,Eyes on the Sky,"In exhibitions at the Metropolitan Museum of Art and the National Gallery commemorating the anniversary of the Apollo 11 mission, the images straddle the line between science and art.",20190713
23,Markets,Next Big Thing in ETFs: Less Transparency,"Capital Group, Legg Mason and JPMorgan plan exchange-traded funds that bet on stocks without daily disclosure of investments, drawing on a small New Jersey firm’s model.",20190713
24,U.S.,OxyContin Made the Sacklers Rich. Now It’s Tearing Them Apart.,"The billionaire family was so fractious one member tried to punch another in a board meeting. More recently, a rash of lawsuits, which accuse its Purdue Pharma of helping fuel the addiction crisis, has exacerbated these longstanding divisions and complicated its strategy.",20190713
25,ESSAY,It’s No Longer a ‘Mad’ World,"‘What, Me Irrelevant?’ The magazine is ending, but its comic spirit lives on.",20190713
26,Keywords,"40 Years Later, Lessons From the First ‘Killer App’","VisiCalc, the world’s first spreadsheet, took the nascent personal computing world by storm, and just as suddenly ceased to exist—in the process, writes Christopher Mims, it transformed how companies are built and how all of us make decisions",20190713
