,section,headline,summary,date
0,Corrections,Corrections & Amplifications,"Corrections & Amplifications for the edition of Oct. 12-13, 2019",20191011
1,Sports,American Swimmer Conor Dwyer Gets 20-Month Suspension,"American Conor Dwyer, a three-time Olympic medalist swimmer, received a 20-month suspension Friday after an arbitration panel concluded he had testosterone pellets inserted in his body.",20191011
2,Business,Boeing Strips CEO of Chairman’s Job,Boeing’s board stripped CEO Dennis Muilenburg of his dual role as chairman following two deadly crashes of its 737 MAX jet.,20191011
3,Health,Major Blue Health Insurers Drop Deal to Combine,"Blue Cross and Blue Shield of North Carolina and Cambia Health Solutions said they were dropping plans to combine, after the resignation of the North Carolina insurer’s chief executive.",20191011
4,Stocks,"PG&E, Apple, Bed Bath & Beyond: Stocks That Defined the Week",Here are seven major companies whose stocks moved on the week’s news,20191011
5,Business,"FAA, Boeing Criticized for Oversights in MAX’s Design","An international panel of experts said inadequate U.S. safety oversight, combined with Boeing’s failure to properly assess and communicate important design changes, contributed to two fatal crashes of the company’s 737 MAX aircraft.",20191011
6,U.S.,Some Vaping Patients Return to Hospitals,"Some patients released from the hospital after suffering from vaping-related illnesses had to be readmitted after relapses, underlining the challenges of treating the mysterious lung injuries.",20191011
7,Media & Marketing,Fox News Anchor Shepard Smith Steps Down After 23 Years on the Air,Fox News Channel anchor Shepard Smith is leaving the network he has been a part of since it launched in 1996.,20191011
8,Pro Bankruptcy Bankruptcy,Bankruptcy Judge Pushes Purdue Into Talks With States Over Sackler Family Legal Shield,"A bankruptcy judge granted a brief legal reprieve to the Sackler family, owners of Purdue Pharma, shielding them from answering in court for their alleged role in feeding the nationwide opioid crisis.",20191011
9,Pro Bankruptcy Bankruptcy,Barneys Bankruptcy Lenders Extend Bid Deadline Until Tuesday,Barneys New York’s lenders extended until Tuesday a deadline for the luxury retailer to clinch an offer from a buyer.,20191011
10,Pro VC People,Andy Rubin Departs From Playground Global,"Android software creator Andy Rubin has left Playground Global, the venture-capital firm he co-founded.",20191011
11,Review & Outlook,The Turk and the President,The Syrian retreat is all too typical of Trump’s decision-making.,20191011
12,Review & Outlook,The Electric-Vehicle Subsidy Racket,"The $7,500 tax credit is going to many buyers who don’t qualify.",20191011
13,Review & Outlook,Beto O’Rourke’s Progressive Tolerance,Now he wants to use the tax code to punish religious dissenters.,20191011
14,Markets,SEC Sues Crypto Startup Telegram Over Initial Coin Offering,U.S. regulators sued a company that raised $1.7 billion through a cryptocurrency offering that became one of the largest such deals ever.,20191011
15,World,Photos of the Week,"Turkey begins offensive in Syria, PG&E power outage in California affects millions, Simone Biles shatters gymnastic records and more from The Wall Street Journal’s photo editors.",20191011
16,Risk & Compliance Journal,Financial Adviser Pleads Guilty to Facilitating Bribes in Ecuador,Frank Roberto Chatburn Ripalda pleaded guilty in a federal court in Miami to one count of conspiracy to commit money laundering as part of a scheme that involved paying bribes to officials at Ecuador’s state oil company.,20191011
17,Politics,Appeals Court Says House Can Subpoena Trump Accounting Records,"A federal appeals court ruled a House committee can subpoena President Trump’s financial records from his longtime accounting firm, a win for congressional Democrats that is likely to be appealed to the Supreme Court.",20191011
18,Cross Country,Millennials Are Coming to America’s Small Towns,"We moved beyond the suburbs so that we can breathe free, park without worry and enjoy a parade.",20191011
19,Opinion,"NotableQuotable: Michael M. Uhlmann, RIP",‘We cannot say for sure what forms presidential ambition will take under direct election.’,20191011
20,Opinion,"Social-Justice Warriors Won’t Listen, but You Should","To counter extreme views, it’s necessary for you to understand them—and that they’re sincerely held.",20191011
21,Business World,Do California’s Blackouts Make Sense?,Some 90% of wildfires are not caused by power lines. How does cutting power help fight them?,20191011
22,Opinion,‘Music’ Review: Posterity Without Pedestals,"Even Bach was once a rule-breaker, whose bold music disturbed Leipzig’s austere Lutherans.",20191011
23,Bookshelf,‘The Topeka School’ Review: Lost Boys on the Prairie,"For his third novel, Ben Lerner expands his canvas to produce a polyphonic portrait of an entire community, yet never strays far from the autobiographical.",20191011
24,U.S.,First Parent to Avoid Prison in College-Admissions Scandal,"A Bay Area father is the first to avoid prison in the nationwide college-admissions scandal, after a federal judge credited him for not hiding his payment as a charitable donation.",20191011
25,Opinion,Ukrainians vs. the Swamp,Encouraging signs that someday the country might not even tolerate a Hunter Biden deal.,20191011
26,Politics,"Pentagon to Deploy Around 2,000 Additional Troops to Saudi Arabia","The Pentagon is deploying three antimissile systems, two squadrons of jet fighters and some 2,000 additional troops to Saudi Arabia in a buildup meant to counter Iran.",20191011
27,Markets,Brexit Bounce: U.K. Assets Surge on Divorce-Deal Optimism,Signs of optimism that the U.K. could reach a divorce deal with the European Union drove the pound and U.K bank stocks sharply higher.,20191011
28,Risk & Compliance Journal,Citibank Fined $30 Million in Real-Estate Holding Rules Case,"A U.S. banking regulator has fined an arm of Citigroup $30 million, saying it violated holding period regulations on foreclosed real estate.",20191011
29,Politics,Giuliani’s Longtime Business Partner Resigns From Security Firm,"Rudy Giuliani’s longtime business partner and friend, John Huvane, resigned from their security company in recent weeks, according to several people familiar with the move, which Mr. Giuliani confirmed.",20191011
30,U.S. Markets,Stocks Rally as U.S.-China Trade Talks Progress,"U.S. stocks surged as investors cheered progress on trade negotiations between the U.S. and China, helping the S&P 500 break a three-week losing streak.",20191011
31,Credit Markets,"Government-Bond Yields Climb on Trade Talks, Brexit","Government-bond yields around the world rose, as investors embraced signs of progress in trade talks between the U.S. and China and in Brexit negotiations.",20191011
32,Stocks,Apple Breaks Out of the ‘FAANG’ Stock Slump,Apple shares set a new all-time high and have recently outperformed their peers in the popular “FAANG” trade.,20191011
33,Obituaries,Attorney Bill Urquhart Thrived as a Recruiter of Other Lawyers,"A big league litigator, Bill Urquhart was even better known for his ability to recruit lawyers to his firm, Quinn Emanuel. Wearing Hawaiian shirts and flip-flops, he sometimes offered margaritas to job candidates. He died Oct. 4 at age 72.",20191011
34,CFO Journal,Red Hat CFO Loses Out on Retention Bonus Following Standards-Related Ouster,"Red Hat’s finance chief Eric Shander has been dismissed from the company, forfeiting a $4 million retention award that was agreed to ahead of Red Hat’s acquisition by International Business Machines.",20191011
35,Masterpiece,Plucked From Life,Bernardo Strozzi’s ‘The Cook’ is revolutionary in its humble subject matter and very human protagonist.,20191011
36,Politics,Judges Block Rule to Disqualify Legal Immigrants Over Public Assistance,Federal judges in three states blocked a Trump administration rule that would disqualify legal immigrants from permanent residency if they use certain public-assistance programs.,20191011
37,U.S. Economy,Fed Will Purchase Treasury Bills at Least Into Second Quarter of 2020,The Federal Reserve said it would begin buying Treasury bills on Tuesday to boost its balance sheet and avoid a recurrence of the unexpected strains experienced in money markets last month.,20191011
38,Oil Markets,Oil Prices Climb After Iranian Tanker Damaged in Possible Strike,Oil prices climbed after an Iranian tanker near the Saudi Arabian coast suffered damage in what the ship’s owner suggested may have been a missile attack.,20191011
39,Politics,Trump Taps Pompeo Deputy as Russian Envoy,"President Trump has tapped John Sullivan, currently the deputy Secretary of State, to serve as the U.S. ambassador to Russia, the White House said.",20191011
40,CFO Journal,Kohl’s Promotes Finance Veteran to CFO in Effort to Boost Customer Traffic,"Kohl’s promoted a finance veteran to the role of finance chief as the company looks to cut costs and boost customer traffic after a stretch of sluggish sales, analysts say.",20191011
41,U.S.,"California Bans Private Prisons, Immigrant Detention Centers","California will work to end the use of private prisons within its borders, including for-profit immigrant detention facilities, under a law signed by Gov. Gavin Newsom.",20191011
42,Opinion,Diagnoses of the State of Cancer Treatments,A rational approach to early cancer detection could include focusing on individuals who have the highest genetic predisposition to cancer or tumor types with the longest lead times to metastasis.,20191011
