,section,headline,summary,date
0,Markets,"Fannie, Freddie to Consider Alternatives to FICO Scores","Fannie Mae and Freddie Mac, two mortgage-finance firms that back nearly half of U.S. mortgages, will have to consider credit-score alternatives to Fair Isaac Corp.’s FICO score when determining a mortgage applicant’s creditworthiness.",20190813
1,U.S.,Dayton Police Provide Minute-by-Minute Timeline of Shooting,"Connor Betts acted alone when he shot into a street lined with bars and restaurants in Dayton, Ohio, police said, offering their most detailed timeline to date of the deadly Aug. 4 shooting.",20190813
2,Schools,New York City Teachers Get ‘Culturally Responsive’ Training,"In an effort to engage students, about 200 New York City teachers are exploring ways to help public-school students of all backgrounds see themselves in their lessons. This week they’re tackling computer science.",20190813
3,Corrections,Corrections & Amplifications,"Corrections & Amplifications for the edition of Aug. 14, 2019.",20190813
4,Pro Bankruptcy Bankruptcy,PG&E Makes Final Push to Stay in Charge of Chapter 11,"Faced with losing control of a multibillion-dollar bankruptcy process, PG&E promised to swiftly file a chapter 11 exit plan with financial backing in a bid to keep the company’s fate in its own hands.",20190813
5,Politics,"San Francisco, Santa Clara County File Suit to Block Rule on Green Cards","San Francisco and neighboring Santa Clara County have filed suit against the Trump administration, challenging the government’s move to deny permanent residence to legal immigrants who use certain public-assistance programs or to bar entry for those deemed likely to do so.",20190813
6,Review & Outlook,The ‘Public-Charge’ Ploy,A new rule looks like another effort to limit legal immigration.,20190813
7,Review & Outlook,A Tactical Tariff Retreat,A tacit admission that trade wars aren’t cost-free to consumers.,20190813
8,Review & Outlook,The Hong Kong Stakes for Trump,He needs to warn China about the damage from a crackdown.,20190813
9,Opinion,"Violent Young Men, Here and Abroad","In understanding its mass-shooting problem, America can learn a few things from recent Mideastern history.",20190813
10,Opinion,How Uber Makes Its Drivers Pay,The firm’s reported costs don’t include the cars’ lost value: almost $11 billion.,20190813
11,Opinion,Making Money Is a Patriotic Act,"The businesses we created help Americans by providing jobs, growth, goods and services.",20190813
12,Opinion,The Smear Campaign Against Charters,"Far from being ‘resegregated,’ some of our schools are actually majority-minority—and that’s by parents’ free choice.",20190813
13,Opinion,I Get a Kick Out of . . . Who?,Porter? Gershwin? At least my 18-year-old student knew Sinatra.,20190813
14,Politics & Ideas,Democrats Vie to Restore World Order,"Biden and Buttigieg would preserve defense funds, while Sanders prioritizes the climate.",20190813
15,Business World,Last Exit Before a Cold War?,What China would say if it really understood President Trump’s ideas about trade.,20190813
16,Opinion,‘The Plateau’ Review: A Culture of Selflessness,An isolated community in southern France showed what could be done to protect victims of persecution during World War II.,20190813
17,Politics,New York City Councilwoman Wants Patient Advocate Office,A bill set to be introduced Wednesday in the New York City Council seeks to create a new office to receive and report on complaints against health-care facilities and providers.,20190813
18,CIO Journal,CIOs Strive for Balance Between Looking Inward and Outward,"Technology’s expanding reach in the corporate world means chief information officers are taking a bigger role in developing strategies and customer services, while still keeping underlying systems running smoothly.",20190813
19,U.S.,States Rebuffed in Fight to Reclaim $25 Billion in Savings Bonds,"An appellate court handed a win to the federal government in a yearslong dispute over who can lay claim to $25 billion in matured, unredeemed U.S. savings bonds dating back to World War II.",20190813
20,Latin America,"Argentine Markets Steady, but Political Instability Drives Uncertainty",Some economists said the country is heading for prolonged financial instability amid the growing likelihood that the left-wing Peronist movement will return to power in October elections.,20190813
21,New York,NYPD Officer Kills Himself in Eighth Department Suicide This Year,"An off-duty New York Police Department officer fatally shot himself, marking the eighth time this year that an officer in the department has died by suicide.",20190813
22,U.S. Markets,U.S. Stocks Rally on Tariff Delay,"Stocks, bond yields and commodities jumped as news that the U.S. would delay some tariffs against China rekindled investors’ hopes for an eventual trade truce.",20190813
23,Stocks,Retail Stocks Rally as Tariffs Are Delayed,"Shares of department stores, discount chains and even toy makers rallied Tuesday after the U.S. said it would delay some tariffs against China until Dec. 15.",20190813
24,Stocks,Investors in Auto-Parts Retailers Are Tapping the Brakes,Shares of auto-parts retailers are tapping the brakes a bit after ramping higher than the broader market for the past year.,20190813
25,Dance Review,Best Looking Backward,"So far at the Joyce Theater Ballet Festival, astute looks at the Royal Ballet’s past have been the standouts.",20190813
26,Opinion,We Can Assimilate Immigrants if the Left Allows,"Mr. Riley’s point about shared values and a cultural whole that is bigger than the sum of its parts is well taken, but America now has a values gap that is far wider than any income gap.",20190813
27,Pro Bankruptcy Bankruptcy,Candy Retailer Lolli & Pops Files for Bankruptcy,"The shopping mall-focused purveyor of such sweets as strawberry-champagne bark, blue-raspberry cotton candy and cookies-and-creme crispycakes sought protection from creditors Monday in U.S. Bankruptcy Court in Wilmington, Del.",20190813
28,Opinion,Rat Control Functions Properly in California,AB 1788 clearly protects public health. It contains an exemption for any type of public health emergency and allows for at least 185 other products to be used to control rats.,20190813
29,Opinion,It’s That Short Distance That Makes Life So Sweet,We resolved the question by each building one-half of the same duplex in a 55-plus gated community.,20190813
30,Opinion,Sports and Politics Should Play in Different Arenas,Sports and entertainment exist precisely to take us away from our everyday lives and provide an escape from reality.,20190813
31,Opinion,The Sierra Club Certainly Has Standing in Wall Case,"No court—not even the Supreme Court—ever suggested the Sierra Club lacks standing or that our members face harm from the construction of a 30-foot wall on the lands they use, treasure and successfully petitioned Congress to protect.",20190813
32,Opinion,What Will Socialists Do When Capitalists Are Gone?,"The Democratic Socialists of America were so anxious to keep tweeting during the proceedings, they couldn’t be persuaded to turn off their smartphones.",20190813
33,Russia,Russia Urges Villagers to Leave Radioactive Blast Site,"Residents of a town in Northwestern Russia were urged to leave their homes, days after a nearby Defense Ministry test of a nuclear-powered engine exploded, boosting radiation levels that alarmed the region.",20190813
34,Commodities,Gold Pares Early Advance as Trade Hopes Boost Risk Assets,Gold prices erased an early rally after the U.S. Trade Representative said it would delay some tariffs on Chinese imports and China’s Xinhua News Agency reported that officials from both sides plan to continue talks in two weeks.,20190813
35,Politics,States Sue Trump Administration Over Rollback of Power-Plant Rules,More than 20 states are suing the Trump administration over its rollback of climate-change regulations for power plants in what could be a landmark case deciding what the federal government’s responsibility is for fighting global warming.,20190813
36,Business,CBS-Viacom Merger Opens Door to More Deals,The combined company is expected to bulk up to better compete with its much larger media rivals.,20190813
37,Commercial Real Estate,Commercial Real-Estate Prices Stumble in Global Capitals,"Commercial-property prices in major cities around the world tumbled in the second quarter, amid signs of slower global growth and heightened trade tension between China and the U.S.",20190813
38,NFL,NFL Taps Jay-Z for Social-Justice Issues—and Entertainment Offerings,The NFL has struck a broad alliance with Jay-Z in which the rapper will both help the league with one of its thorniest problems—smoothing out continuing tensions with players over social-justice issues—and expand the NFL’s entertainment offerings.,20190813
39,New York,Food Halls Hit Academia,"Some college campuses are switching out their food courts for food halls, greatly expanding the menu options. Columbia University is set to join the trend.",20190813
40,Credit Markets,Argentine Vote Slams U.S. Bond Funds,Yield-seeking investors everywhere are getting singed this week by the meltdown in Argentina’s markets following the victory of a populist candidate in the South American nation’s presidential primary election.,20190813
41,Exhibition Review,‘David H. Koch Hall of Fossils’ Review: A Too Shallow Treatment of Deep Time,"The newly renovated display at the Smithsonian National Museum of Natural History is filled with fascinating dinosaurs, but the story it tells is confusing and unfocused.",20190813
42,Economy,"Mortgage Debt Hits Record, Eclipsing 2008 Peak","U.S. mortgage debt reached a record in the second quarter, exceeding its 2008 peak as the financial crisis unfolded.",20190813
43,China,Hong Kong Protesters Confound Authorities With ‘Flash Mob’ Tactics,"The demonstration of power by protesters in Hong Kong, who shut down one of the world’s major travel hubs, is the latest phase of continually shifting tactics used by a fluid, diffuse movement that has confounded authorities.",20190813
44,Copy Cat,Can I Wear Shorts as Short as John Wayne’s?,"Men’s shorts with eensy inseams have lately come back in style, recalling the startlingly small hot pants that “the Duke” wore back in the day.",20190813
45,Business,Boeing Plane Deliveries Tumble So Far in 2019,Boeing said it delivered 38% fewer planes in the first seven months of 2019 than a year ago—falling further behind rival Airbus—as the impact of grounding the 737 MAX jetliner weighs on the U.S. plane maker.,20190813
