,section,headline,summary,date
0,U.S.,White House Picks Jeffrey Rosen for Deputy Attorney General,"The White House selected Jeffrey Rosen, the No. 2 official at the Transportation Department, to be deputy attorney general, putting a seasoned bureaucrat in charge of the day-to-day operations of a Justice Department battered by political storms.",20190219
1,Corrections,Corrections & Amplifications,"Corrections & Amplifications for the edition of Feb. 20, 2019",20190219
2,Politics,Trump Eases Off Hard Deadline for China Tariffs,"President Trump gave his firmest indication yet that the U.S. may not increase tariffs on Chinese goods on March 1, as scheduled, despite statements by his top trade official that the U.S. should stick to a firm deadline.",20190219
3,Politics,Queens Politicians Feel the Heat Over Doomed Amazon Deal,Two Queens politicians who were critics of the deal to build a new Amazon campus in their districts have faced blowback from residents and business owners since the company ditched the plan.,20190219
4,Tech,Pentagon Cloud-Computing Contract Sought by Amazon Faces New Hurdle,A federal judge delayed a lawsuit over a massive Pentagon cloud-computing contract Amazon.com was favored to win while the government continues to investigate possible conflicts of interest in the procurement process.,20190219
5,U.S.,Federal Government to Cancel Funds for California High-Speed Rail,The Trump administration will halt $928 million in aid and says it is considering legal action to recover federal money already spent. California Gov. Gavin Newsom called it “clear political retribution” over the state’s fight against the border wall.,20190219
6,U.S.,FDA Warns on Services Offering Injections of Young Blood Plasma,"The U.S. Food and Drug Administration has warned older Americans away from services in several states that offer to inject them with younger people’s blood plasma as a treatment for dementia, Alzheimer’s disease, Parkinson’s disease and other debilitating maladies.",20190219
7,U.S.,"Chicago Police, Prosecutors Interview Brothers in Jussie Smollett Case",Investigators interviewed the two brothers who purchased the rope used in the alleged racist and antigay attack reported by the “Empire” actor. Authorities also dismissed a tip suggesting the brothers and Mr. Smollett had been seen together.,20190219
8,Markets,HSBC’s Profit Misses Analysts’ Expectations,"HSBC reported lower-than-expected fourth-quarter profit as choppy financial markets, U.S.-China trade tensions and Brexit uncertainty weighed on the global bank.",20190219
9,Politics,North Carolina Election Officials Hear Testimony on Unseated Congressional Race,"In the second day of an election-fraud hearing in North Carolina over a contested congressional seat, a campaign consultant for Republican Mark Harris said he didn’t know a paid contractor was using unlawful methods in a get-out-the-vote effort.",20190219
10,Review & Outlook,Teachers Strike to Kill Student Choice,West Virginia’s GOP Governor surrenders to another union walkout.,20190219
11,Review & Outlook,Bernie and Burlington College,Sanders is no longer the only socialist in the Democratic crowd.,20190219
12,Politics & Ideas,Trump’s Emergency Is Test for Congress,Letting the president conjure funds for the wall would damage separation of powers.,20190219
13,Review & Outlook,Lyft and the Left,The ride-sharing firm wants the feds to protect its business model.,20190219
14,Opinion,Vietnam Takes Aim at Radio Free Asia,One of its writers is missing and another sits behind bars.,20190219
15,Business World,Airbus’s Lesson for Young Socialists,Its A380 debacle shows how hard it is for state planners to outguess markets.,20190219
16,Opinion,Why Service Is Lousy in High-Tax States,There’s an almost inverse relationship between burdensome levies and infrastructure quality.,20190219
17,Opinion,‘Earth-Shattering’ Review: Cosmic Calamities,"Great cataclysms can bestow great beneﬁts. A Mars-size planet once collided with Earth, creating the necessary conditions for life here.",20190219
18,Politics,Beto O’Rourke Differentiates Himself From Democratic Socialists,"Former Democratic Rep. Beto O’Rourke, weighing a presidential bid, distanced himself from the Democratic socialist movement in his party’s left wing and championed free-market forces to achieve progressive policy goals.",20190219
19,Opinion,An Indictment Exposes America’s Witless Intelligence Agencies,"Monica Witt allegedly spied for Iran—but she defected in 2013, so she’ll never be brought to justice.",20190219
20,Opinion,Politics Has Become Boring Again—and That’s a Relief,It inoculates us against the tiresome ideologue who wants to fix everything with One Big Idea.,20190219
21,Future View,Is the Campus Free-Speech Crisis Overblown?,Students assess the state of free expression in the university.,20190219
22,Houses of Worship,Everyday Catholics Can Fight Sex Abuse,Bishops have failed to police themselves. It’s time for the laity to step up.,20190219
23,Notable & Quotable,Notable & Quotable: Jussie Smollett’s Unraveling Story,‘I continue to hold a sliver of hope that...he was telling the truth all along.’,20190219
24,Earnings,Herbalife Sales Rise 9% in Latest Quarter,"Herbalife Nutrition, whose chief executive abruptly resigned last month, reported a 9% sales increase in its latest quarter, driven largely by growth in Asia Pacific.",20190219
25,Business,Ford to Exit Heavy-Truck Business in South America,The auto maker intends to stop making heavy trucks in Latin America and end production at an assembly plant in Brazil this year.,20190219
26,Pro Bankruptcy Bankruptcy,Payless Returns to Bankruptcy Less Than Two Years After Exiting Chapter 11,"As part of its latest bankruptcy filing, Payless will close all of its North American stores, while keeping its 420 Latin American stores and its international franchise locations open. The shoe retailer began to see its sales decline in 2015 and first landed in bankruptcy in mid-2017.",20190219
27,New York,A HUD Official Gets a First-Hand Look at NYCHA Woes,Regional administrator Lynne Patton is spending a month at NYCHA apartments to get a view of the problems plaguing the public housing developments.,20190219
28,Business,McKinsey Settles With DOJ Over Bankruptcy Disclosures,McKinsey agreed to pay $15 million to settle Justice Department allegations that the consulting firm failed to make required disclosures of potential conflicts in three chapter 11 cases it had advised on in recent years.,20190219
29,Markets,Investors Sound Warning About Markets’ Complacency on Rates,"Stocks and bonds are rising on bets the Fed has ended its interest-rate increases, worrying investors who believe the central bank could upend those expectations later this year.",20190219
30,Foreign Exchange,Dollar Falls for a Fourth Straight Session,"The WSJ Dollar Index, which measures the U.S. currency against a basket of 16 others, dropped 0.3% to 89.56. The dollar reversed overnight gains as developed-market currencies mostly hovered in recent trading ranges.",20190219
