,section,headline,summary,date
0,Business,Plane Flying Cargo for Amazon Crashes in Texas,"A plane flying cargo for Amazon.com crashed in Texas with three people on board, leaving a large debris field in a bay near Houston, authorities said.",20190223
1,Politics,Officials Play Down Appearance of Rift Between Trump and Lighthizer on Trade,"U.S. trade officials are looking to knock down speculation of a split on China policy between President Trump and his lead trade negotiator, Robert Lighthizer, following a testy exchange between the two in the Oval Office Friday.",20190223
2,World,Kim Jong Un Heads to Hanoi for Meeting With Trump,"North Korean leader Kim Jong Un left Pyongyang by train for Hanoi, North Korean state media reported, in its first official acknowledgment of the closely watched two-day summit meeting with President Trump.",20190223
3,World,U.S. Allies Spurred a Partial Reversal of Trump’s Syria Withdrawal Plan,"The Trump administration decision to keep hundreds of U.S. troops based in Syria was driven by allies who said they wouldn’t stay behind to prevent a resurgence of Islamic State without an American presence, a senior U.S. defense official said.",20190223
4,Slideshow,Showdown at Venezuela-Colombia Border,"Venezuela President Nicolás Maduro said he was breaking diplomatic ties with neighboring Colombia amid a showdown over humanitarian. Opposition leader Juan Guaido is trying to bring international humanitarian aid into Venezuela from Colombia, but Mr. Maduro denies a humanitarian crisis exists.",20190223
5,Slideshow,Photos: Marella Agnelli’s Life in Style,"The Italian style icon and widow to the late Fiat chairman Gianni Agnelli inspired fashion photographers like Richard Avedon, designers like Valentino Garavani, and writers like Truman Capote. A stylish life in photographs.",20190223
6,Pro Bankruptcy Bankruptcy,PG&E To Scrap Employee Bonuses After Protest From Fire Victims,"PG&E is planning to scrap $130 million in bonuses owed to thousands of employees, a move that comes after protests from victims of several California wildfires.",20190223
7,Heard on the Street,Are Stocks Worth Their Price?,"Unable to find an elephant-sized acquisition, Warren Buffett said Berkshire would likely be expanding its portfolio of stocks instead. Considering where valuations are, even that hunt for smaller game could be trying.",20190223
8,Africa,Nigeria’s Election Gets Under Way After a Stop-Start Runup,"After a false start and an acrimonious campaign, Nigerians headed to the polls to vote in what is expected to be Africa’s largest-ever election, and will determine who governs the continent’s top economy and oil producer.",20190223
9,Tech,‘Apex Legends’ Is EA’s Move to Out-Fortnite ‘Fortnite’,"“Apex Legends,” the free, last-man-standing videogame that Electronic Arts launched Feb. 4 with no fanfare, is the first challenger to crack the armor of Epic Games Inc.’s juggernaut “Fortnite.”",20190223
10,Slideshow,London Fashion Week 2019: WSJ. Magazine’s 20 Favorite Looks,"Last week in London, designers presented one of their strongest and most joyful seasons in recent memory.",20190223
11,The Outlook,"Despite Tight Job Market, Labor Force’s Income Is Squeezed","With the U.S. labor market so tight that companies routinely complain of shortages, you’d think American workers are getting a bigger slice of the nation’s economic pie. But they’re not.",20190223
12,Markets,"IRS Proposal Could Crimp Earnings for Manufacturers, Energy Companies","The tax overhaul fueled earnings for many companies. Now, a proposal from the Internal Revenue Service about how to implement part of the measure could crimp a key tax break for certain manufacturing and energy companies.",20190223
13,Culture,"In New York, Don’t Just Drink Your Coffee—Learn About It First","For many New Yorkers, getting coffee is a no-nonsense everyday ritual. But for others, it has become a multisensory experience as some cafes create ways for guests to learn about coffee or enjoy it in unexpected ways.",20190223
14,Transit,LaGuardia’s High-Flying Makeover Has Travelers Doing Double-Takes,New York’s LaGuardia Airport is midway through an $8 billion renovation—and the floor-to-ceiling windows and luxurious bathrooms have customers taking notice.,20190223
