,section,headline,summary,date
0,World,"Gang Fight Kills 57 in Brazil, 16 Beheaded","A gang fight in a prison in Brazil’s Para state left at least 57 dead, many by decapitation or asphyxiation, adding to a string of gruesome clashes in the country’s overloaded prison system as the government struggles to fight rampant crime.",20190729
1,Corrections,Corrections & Amplifications,"Corrections & Amplifications for the edition of July 30, 2019",20190729
2,U.S.,Wealthy Parents Transfer Guardianship of Teens to Get Aid,"The Education Department is looking into a tactic that has been used in some Chicago suburbs, in which wealthy parents transfer legal guardianship of their college-bound children to relatives or friends so the teens can claim financial aid.",20190729
3,U.S.,Shooter at Gilroy Garlic Festival in California Used Semiautomatic Rifle,"The suspected shooter used an AK-47-style semiautomatic rifle to kill a 6-year-old boy, a 13-year-old girl and a man in his 20s in Sunday’s attack at the Gilroy Garlic Festival, police said.",20190729
4,Capital Journal,"Led by Trump and Johnson, Disrupters Rise Globally","The most important trend in global politics is the rise of disrupters like President Trump, who gained power by taking a wrecking ball to the prevailing political system. Last week’s ascension of British Prime Minister Boris Johnson was the latest instance of this phenomenon.",20190729
5,Risk & Compliance Journal,Justice Department Fills Fraud Section Post Long in Limbo,"Robert Zink was one of two prosecutors to occupy the position on an interim basis after the section’s former chief, Andrew Weissmann, joined special counsel Robert Mueller’s team in 2017 to investigate Russian interference in the 2016 presidential election.",20190729
6,Tech,Cloud Computing Is Here. Cloud Recycling Is Next.,"The world’s $300 billion scrap-metal market is looking beyond junked cars and copy machines to a new prize: the cloud. Pilot efforts are under way to handle the recycling of small amounts of cloud-computing material in the U.S., betting on a sharp pickup in volumes in the years ahead.",20190729
7,U.S. Economy,Federal Borrowing Soars as Deficit Fear Fades,Borrowing by the federal government is set to top $1 trillion for the second year in a row as higher spending outpaces revenue growth and concern about budget deficits wanes in Washington and on Wall Street.,20190729
8,Review & Outlook,The Confusing Federal Reserve,The second-quarter GDP report did not make the case for easing.,20190729
9,Review & Outlook,Smearing Mitch McConnell,Democrats and the media distort his record on Russia.,20190729
10,Review & Outlook,Big Pharma vs. Big Pharma,Pfizer’s deal with Mylan may make both more competitive.,20190729
11,Schools,New York City Is Hunting for School Space,"New York City officials, having a hard time finding sites for new public schools, say they will soon advertise to recruit potential property sellers.",20190729
12,Opinion,A Fed Reversal Will Store Up Trouble,The central bank may cut interest rates when asset prices are high and unemployment low. Why?,20190729
13,Opinion,California Wants to Teach Your Kids That Capitalism Is Racist,A new model curriculum for ‘ethnic studies’ is a handbook for classroom propagandizing.,20190729
14,Opinion,Environmental Extremists Favor Mosquitoes Over Mankind,Genetically altered insects could save millions from malaria but are anathema to ‘agroecologists.’,20190729
15,Bookshelf,‘The College Dropout Scandal’ Review: A Matter of Degree,"Some schools have made student success their top priority and are ﬁnding effective, hands-on ways to increase graduation rates.",20190729
16,Opinion,The Battle of the Microwave,"At 13, my brother beat my father in an epic domestic conflict.",20190729
17,Main Street,Mayor Pete Has a Race Problem,Buttigieg has even less black support than the president he calls a racist.,20190729
18,Commodities,Rig Owners Forecast Further Drilling Decline,Drilling rig owners and others who lease equipment to U.S. energy producers are forecasting a slowdown in activity during the second half of the year.,20190729
19,Notable & Quotable,Notable & Quotable: Blame Taxes for Baltimore’s Rot,‘Those of us who live in Baltimore are often asked whether our city really is the hellhole it is portrayed to be on TV.’,20190729
20,Global View,Why Russia and China Are Joining Forces,The past few years have witnessed a marked increase in American power.,20190729
21,Earnings,Beyond Meat On Track to Deliver Profit This Year,"Beyond Meat said sales of its plant-based burgers and sausages continued to surge, though shares dropped after hours on plans to issue more stock.",20190729
22,Middle East,"Senate Fails to Block Arms Sales to Saudi Arabia, U.A.E.",A congressional effort to block certain arms sales to Saudi Arabia and the United Arab Emirates fell short after the Senate failed to override President Trump’s veto of the measures.,20190729
23,Soccer,U.S. Soccer Says Women’s Team Has Been Paid More Than Men’s Team,The U.S. Soccer Federation released a letter from its president saying that it has paid the women’s team more than the men’s national team in recent years.,20190729
24,Music,Remixes Propel Lil Nas X’s ‘Old Town Road’ to Billboard Chart Record,"The country-rap hit became the longest-running No. 1 song in Billboard chart history, beating out the 16-week record held in a tie between Mariah Carey and Boyz II Men since 1996 and Luis Fonsi and Daddy Yankee since 2017.",20190729
25,Markets,Refinancing Boom Boosts Mortgage Lending,"Lenders made $565 billion of mortgage loans in the second quarter, the most in more than two years. Falling rates encouraged homeowners to refinance.",20190729
26,Markets,"Bank of America, First Data End Payments Partnership","Bank of America is disbanding its payment-processing joint venture with First Data, giving the bank more control of its business that focuses on moving money for merchants.",20190729
27,Markets,Strong Earnings Allay Fears Over Trade and Growth—for Now,"Corporate profits are proving to be more resilient than expected in the second quarter, nudging the stock market higher this month and distracting from anxieties about trade and economic growth.",20190729
28,Heard on the Street,London Stock Exchange’s Big Bet Is Profitable but Risky,"For now, investors are more focused on the profit potential of the LSE’s $15 billion acquisition of Refinitiv than on the financial and operational hurdles.",20190729
29,CFO Journal,Mylan CFO Set to Leave as Part of Pfizer Deal,"Mylan Chief Financial Officer Ken Parks, who has been in the role since June 2016, will retire from the company upon the close of the transaction that will see Pfizer combine its off-patent drugs business with Mylan. Mylan Chief Executive Heather Bresch will also depart, the companies said.",20190729
30,CIO Journal,SoftBank’s New Fund Stands to Shake Up Enterprise Tech,"SoftBank’s $108 billion technology fund will have a big impact on the venture-backed startups helping to develop next-generation enterprise technology, investors say.",20190729
31,Opinion,A Public Option Is No Winner for Democrats,"While it’s true that most Americans don’t want “a radical change tearing up existing plans,” a “public option” health care system would ultimately do just that.",20190729
32,Opinion,Smaller Money Managers Drowning in Rules,"Further regulating small advisers, who are already swamped by regulatory requirements, will serve only to put more good people out of business.",20190729
33,Foreign Exchange,British Pound Collapse Continues,"The British pound on Tuesday came under continued assault, sliding as traders price in an increased possibility of a so-called hard Brexit.",20190729
34,Opinion,Dealing With the High Price of Some Insulin,I have serious diabetes mellitus and have managed it with Lilly insulin for a decade for under $100 a month. Tens of thousands do likewise.,20190729
35,Opinion,"Blame Obama, not Kerry For the Terrible Iran Deal","You imply that the “decider,” as President George W. Bush described himself, is Mr. Kerry, not President Obama.",20190729
36,Politics,Melinda Katz Is Certified Winner of Queens District Attorney Primary,"Melinda Katz was officially certified the winner of the Democratic primary for Queens district attorney, the New York City Board of Elections said, setting up a legal battle between the longtime politician and the insurgent campaign of Tiffany Cabán.",20190729
37,Earnings,Higher Costs Hold Down Profit at Heineken,"Higher costs held down profit in the first half of the year for Heineken, despite the world’s second biggest brewer selling more beer globally and launching its nonalcoholic Heineken variant in the U.S.",20190729
38,Music Review,‘The Big Day’ by Chance the Rapper Review: A Hip-Hop Missive From Married Life,"The Chicago rapper ruminates on his recent union with a new record that runs well over an hour, digging into weighty themes with an array of big-name guests.",20190729
39,Business,Ryanair Warns of Possible Job and Flight Cuts,The Irish discount airline said further delays in the return to service of Boeing’s 737 MAX would lead to job cuts and less flying during next year’s peak summer travel season.,20190729
40,Opinion,"Trump, Cummings, Pelosi and Baltimore",Democrats have run the violent city longer than most of its residents have been alive.,20190729
41,Asia,"U.S. Sanctions North Korean Over Illicit Trade, Missile Program",The U.S. imposed sanctions on a North Korean man it accuses of evading trade restrictions and being an employee of a government department that helped develop the nuclear-capable missiles the country fired last week.,20190729
42,Pro PE Fund News,Welsh Carson Closes Its Biggest Fund at $4.3 Billion,"Private-equity investor Welsh Carson Anderson & Stowe has closed the largest fund in its four-decade history, collecting $4.3 billion for its 13th investment vehicle, according to people familiar with the situation.",20190729
43,Business,Netflix Splurges on Big-Budget Movies,Netflix is spending hundreds of millions of dollars to produce big-budget films as it attempts to shore up its subscriber base and push further into territory once controlled by major Hollywood studios.,20190729
44,Heard on the Street,Pfizer Is Buying Low and Smart in Generics Gambit,Generics deal with Mylan fits well with strategy of new Pfizer CEO Albert Bourla.,20190729
45,U.S. Markets,S&P 500 Ticks Lower as Expected Fed Rate Cut Looms,The S&P 500 inched lower as investors looked ahead to a key Federal Reserve meeting that many anticipate will result in the first interest-rate cut since 2008.,20190729
46,Pro Bankruptcy Bankruptcy,"Venezuela’s Citgo Stake Can Be Seized, Appeals Court Says","A U.S. appeals court said Venezuela’s stake in U.S.-based oil refiner Citgo Petroleum Corp. could be seized to satisfy a judgment against the country, a blow to its U.S.-backed opposition government.",20190729
47,Business,"Delivery Startups Join Forces, Beefing Up for Battle With Uber, Amazon","Two of the largest food-delivery companies in Europe are poised to join forces in a merger worth $11.1 billion, as they seek an edge in the competition against market dominators like Uber Technologies and Amazon.com.",20190729
48,Stocks,U.S. Stocks Could Be Headed for a Fall,"Four recent stock swoons have something in common: Almost exactly two months after the declines, stocks plummeted again. A drop in the S&P 500 started at the end of April and hit bottom in early June. Two months from that trough is early August.",20190729
49,Tech,Uber Cuts Third of Marketing Staff; Lyft COO Exits,"Ride-hailing rivals Uber and Lyft went through separate staff shake-ups, as Uber cut about 400 jobs in its marketing department and Lyft eliminated its chief operating officer role.",20190729
50,Asia,Mike Pompeo to Meet With Allies and Rivals on Asia-Pacific Tour,"Secretary of State Mike Pompeo will tackle a number of the U.S.’s most critical foreign policy issues across the Asia-Pacific region when he jets off to a series of meetings this week in Thailand, Australia and elsewhere.",20190729
51,Russia,Russian Activist Navalny Returns to Jail After Mystery Illness,"Russian opposition leader Alexei Navalny was discharged from a hospital, where he was being treated for a mysterious illness, and returned to jail to finish serving time for organizing unauthorized protests, amid claims from his supporters that he may have been poisoned.",20190729
52,Music Review,Reinvigorating the Classical Tradition,"The Mostly Mozart Festival brought fresh zest to the classical music world in an evening of three short concerts, including a performance by Finnish violinist Pekka Kuusisto of Vivaldi’s ‘Four Seasons’ with improvisation.",20190729
53,U.S.,"Trump Commutes Prison Sentences in Medicaid Bribery, Drug Cases","President Trump commuted the prison sentence of an Arkansas man convicted of bribery and a Florida man convicted of distributing synthetic marijuana, and pardoned five other individuals.",20190729
54,Markets,Swiss Central Bank Fires Warning Shot on Currency,The Swiss central bank appears to have taken its most significant steps to weaken the Swiss franc in two years as looming rate cuts abroad strengthened the currency.,20190729
55,Politics,Attorney General Blocks Asylum Applications Based on Family Ties,"Attorney General William Barr is moving to cut off asylum for people whose claims are based on being related to persecuted family members, in the Trump administration’s latest effort to restrict who is eligible to seek refugee status in the U.S.",20190729
56,Election 2020,Kamala Harris Unveils Plan to Transform Health Care to a Federal System,Democratic presidential candidate Sen. Kamala Harris released a plan Monday to reshape the U.S. health-care system by transforming it over 10 years to a federal one that would still allow a limited role for private insurers.,20190729
57,U.S.,"Shooting at Gilroy Garlic Festival in California Kills Three, Injures Several",Three people were killed and 15 were injured in a shooting at the Gilroy Garlic Festival in California. One suspect was killed by police and officers were searching for another possible suspect.,20190729
58,CMO Today,Facebook Watch Draws More Advertisers—Gradually,"Advertisers are beginning to direct more money toward Facebook Watch, but the video-viewing platform remains far behind YouTube in revenue and audience.",20190729
59,Overheard,Oil Giant to Host a Deserted Meeting,Saudi Aramco will host its first investor call in mid-August.,20190729
60,New York,Gov. Cuomo Signs Bill Decriminalizing Marijuana Use,The penalties for possessing and smoking marijuana in New York will be loosened in 30 days under a new law that supporters say will lead to fewer arrests for users of the drug.,20190729
61,The A-Hed,London Britches Falling Down in Record Heat Wave,"British men wear shorts to work to keep cool, defying centuries of sartorial tradition as the city melts in 100-degree weather. ‘Can I wear shorts at Barclays?’",20190729
