,section,headline,summary,date
0,Earnings,Sprint Reports Steepest Decline of Cellphone Customers in Years,"Sprint lost 189,000 of its most lucrative phone connections in the first three months of the year, the steepest such decline since at least late 2015.",20190507
1,Politics,Trump’s Back-to-Mexico Asylum Policy Stays in Effect,A federal appeals court ruled that the Trump administration can for now continue with its policy of returning Central American migrants to Mexico while their requests for asylum in the U.S. are adjudicated.,20190507
2,Slideshow,"Photos: Colorado School Shooting Leaves Many Injured, at Least One Dead","Officials say they have two in custody after the shooting, just weeks after the 20th anniversary of the mass shooting at nearby Columbine High School.",20190507
3,Corrections,Corrections & Amplifications,"Corrections & Amplifications for the edition of May 8, 2019",20190507
4,Earnings,Papa John’s International Swings to Quarterly Loss,Papa John’s International Inc. swung to a loss in the latest period largely tied to legal costs and financial assistance to North American franchisees.,20190507
5,Tech,Facebook Penalty Sparks Partisan Wrangling,"Federal Trade commissioners will appear at a House hearing as they complete a settlement with Facebook over privacy violations, in a session likely to see sparring over who is better positioned to police Big Tech.",20190507
6,Politics,Trump Considers Poverty-Gauge Change That Could Trim Rolls on Aid Programs,"The Trump administration is weighing changes to a federal poverty measure that could reduce eligibility for a number of safety-net programs, including school lunches and Head Start.",20190507
7,Review & Outlook,The Pseudo-Impeachment,Democrats hold show trials rather than vote to oust the President.,20190507
8,Review & Outlook,Russian Collusion in Venezuela,Why does Donald Trump believe Putin instead of his advisers?,20190507
9,Review & Outlook,Connecticut’s Tax Roulette,Democrats in Hartford try to drive more hedge funds out of state.,20190507
10,Credit Markets,U.S. Government Bonds Rise as Trade Tensions Ripple,Prices for Treasurys rose Tuesday amid rising concern that trade tensions between the U.S. and China could dent strong economic growth.,20190507
11,Earnings,Lyft Reports Strong Revenue Growth,"Lyft posted strong growth in its first quarterly report as a public company, with revenue nearly doubling from the year before, even as losses continued to mount.",20190507
12,Markets,Bristol-Myers Sells $19 Billion of Bonds to Fund Celgene Purchase,The drug company Bristol-Myers Squibb sold $19 billion of bonds in the biggest U.S. corporate debt deal this year to fund its blockbuster acquisition of Celgene.,20190507
13,Future View,In Praise of Great Professors,Students reflect on what made their best teachers so special.,20190507
14,Politics,"Nunes, Top Ally to Trump, Signals Vote to Subpoena Special Counsel Evidence",Devin Nunes signaled to the Justice Department that he may join with congressional Democrats in voting to subpoena evidence gathered by special counsel Robert Mueller.,20190507
15,Property Report,"Fifth Avenue Losing Luster as Vacancies Climb, Rents Fall",Global retailers once seemed to pay whatever it took to lease space on Manhattan’s Fifth Avenue. That doesn’t appear to be the case anymore.,20190507
16,Business World,Motive Matters in Trump Spygate,"When intelligence actions are launched for political effect, we’re in trouble.",20190507
17,Politics & Ideas,The Asylum System Is Breaking the Border,The U.S. needs more judges and camps to handle migrants seeking refuge.,20190507
18,Opinion,Roads and Bridges Can Bridge the Parties,"Lawmakers, unite to let states manage infrastructure.",20190507
