,section,headline,summary,date
0,U.S.,"Actress Felicity Huffman, Designer Mossimo Giannulli Appear in Court Amid Cheating Scandal",Actress Felicity Huffman and clothing designer Mossimo Giannulli made their first appearances in federal court in Los Angeles Tuesday following their arrests in a broad criminal case over alleged cheating to get their children into elite colleges.,20190312
1,U.S.,California Governor to Order Halt of Executions,"California Gov. Gavin Newsom is expected to sign an executive order on Wednesday placing a moratorium on executions, marking a significant step in a nationwide slowdown in the use of the death penalty.",20190312
2,Africa,"U.S., Ethiopia Maneuver Over Crashed Plane’s Black Boxes",U.S. air-safety investigators engaged in intense behind-the-scenes discussions with their Ethiopian counterparts over where the black-box recorders found in the wreckage of Ethiopian Airlines Flight 302 will be downloaded.,20190312
3,Corrections,Corrections & Amplifications,"Corrections & Amplifications for the edition of March 13, 2019",20190312
4,Latin America,Two Former Police Officers Charged in Killing of Brazilian Activist Marielle Franco,Brazilian police investigating the assassination last year of Rio de Janeiro councilwoman Marielle Franco on Tuesday arrested two former military policemen whom prosecutors accuse of carrying out her murder.,20190312
5,World,Cardinal George Pell Sent to Prison for Sexually Assaulting Choirboys,The Vatican’s former finance chief was sentenced to six years in prison for sexually abusing two choirboys inside a Melbourne cathedral in the 1990s.,20190312
6,CFO Journal,ANGI Homeservices Promotes Insider to CFO,Angie’s List parent ANGI Homeservices promoted Jamie Cohen to chief financial officer.,20190312
7,Capital Account,Reining in Big Tech: A Middle Way,A proposal by a U.K. government-appointed panel looks to contain big tech’s threat to competition while keeping the government’s hand on the industry and the internet as light as possible.,20190312
8,Politics,New York Attorney General Seeks Bill Allowing Prosecutions After Pardons,"New York Attorney General Letitia James has proposed a bill allowing the state to prosecute people pardoned for federal crimes. The measure would apply only to people who had worked for or conspired with the president, or his family.",20190312
9,CIO Journal,Enterprise Tech Race Spurs M&A Deals,"The ongoing race among firms across all industries to ramp up digital capabilities pushed both the value and volume of mergers and acquisitions last year in the global enterprise-software sector to a five-year high, according to a new report.",20190312
10,Business,Rite Aid CEO to Leave as Company Plans to Shed 400 Corporate Jobs,"Rite Aid, facing investor pressure amid disappointing performance, disclosed plans to replace three of its top ranked executives, including Chief Executive John Standley.",20190312
11,Risk & Compliance Journal,"FCPA Self-Reporting Program Makes Headway, Justice Official Says","A Justice Department program that incentivizes companies to self-report foreign corruption is making headway as prosecutors look for ways to hold individuals accountable for wrongdoing, according to an official in the department’s Foreign Corrupt Practices Act unit.",20190312
12,Business,EPA Moves to Expand Sale of Ethanol-Blended Gasoline,"The Environmental Protection Agency released its long-awaited plan to allow expanded sales for gasoline produced with higher proportions of corn-based ethanol, an action that would help farmers at the expense of oil producers.",20190312
13,World,U.S. to Withdraw Remaining Embassy Staff From Venezuela,Secretary of State Mike Pompeo said the U.S. would withdraw all remaining staff from its embassy in Venezuela due to the deteriorating situation there after several days of power outages sent the country deeper into chaos.,20190312
14,Pro PE Legal Regulatory,TPG’s McGlashan Stripped of Duties in Wake of College-Admission Scandal,"Mr. McGlashan is among dozens of defendants, including several with ties to the private-equity and venture-capital industry, named in a federal suit unveiled Tuesday.",20190312
15,National Security,U.S. Army Plans to Cut Back on Legacy Gear in a Push for New Tech,The U.S. Army has proposed a 2020 budget plan that would eliminate or scale back some of its most enduring and best known equipment programs to free up money to invest in the weapons and hardware of the future.,20190312
16,Schools,New York Legislature Backs 3-Year Extension of Mayor’s Control of Schools,"The Democratic leadership of New York state’s Assembly and Senate backed a three-year extension of mayoral control of New York City schools on Tuesday, accepting a proposal Gov. Andrew Cuomo advanced in January.",20190312
17,Review & Outlook,Barreling Toward Brexit,A no-deal crash out of the EU may bethe best outcome now.,20190312
18,Review & Outlook,Aerospace Investigators in Chief,Warren and Trump diagnose the Ethiopian Airlines crash.,20190312
19,Review & Outlook,The Unimpeachable Pelosi,"The Speaker wants to protect her majority, if they’ll let her.",20190312
20,Review & Outlook,Trump’s Emergency Exit,How he can declare victory on wall money without losing a vote.,20190312
21,U.S.,"How the College Admissions Cheating Scheme Unfolded, in Their Own Words","Read excerpts of conversations that college-counseling consultant William Singer had with a client, explaining how his service works.",20190312
22,Politics,Some Democrats Unmoved by Pelosi’s Impeachment Stance,"Speaker Pelosi’s comments ruling out impeachment of President Trump without Republican backing, sparked debate among lawmakers about the appropriate threshold for attempting to remove the president from office.",20190312
23,U.S.,Head of U.S. Indian Health Agency Vows to Fix Issues That Allowed Pedophile Doctor to Evade Punishment,The top U.S. Indian Health Service official pledged before Congress to address problems that allowed an agency doctor who sexually abused children to evade punishment.,20190312
24,Future View,Student Loans Change Lives,Ignoring college debt is a luxury that many cannot afford.,20190312
25,Opinion,"Taming Facebook, Google and Amazon",They’ve been wildly successful—as in the Wild West.,20190312
26,Upward Mobility,Biden Opposed Quotas in 1975—and He Was Right,"As a first-term senator, he said it was ‘racist’ to think black kids couldn’t learn without white kids around.",20190312
27,Opinion,"On Climate, the Kids Are All Wrong",And a band of ignorant brats shall lead them: Some things have hardly changed since 1212.,20190312
28,Opinion,"Take India’s Side, America","Neutrality has encouraged Pakistan’s bad behavior, and New Delhi is a natural ally for Washington.",20190312
29,Education,Lori Loughlin’s Daughter Caught Up in Admissions Scandal,Olivia Jade Giannulli is a social-media celebrity and a freshman at USC. Prosecutors say she falsely claimed to be a crew recruit after it became clear her grades wouldn’t get her in.,20190312
30,Politics,Democrats Weigh Fate of Tax Breaks,"House Democrats will soon decide what to do with dozens of tax breaks that already expired or are slated to lapse soon, on a range of subjects.",20190312
31,Business World,"Planes Crash, So Does the Media",Ignorance is no deterrent to Mr. Trump or newsies in the Boeing disaster.,20190312
32,Politics & Ideas,Democratic Chaos Is on the Ballot in 2020,The only thing we know about the race for president is it’ll be full of surprises.,20190312
33,Opinion,When Jew-Hatred Isn’t Anti-Semitic,Ilhan Omar and her defenders have a point about anti-Zionism—a very small point.,20190312
34,Bookshelf,‘Amon Carter’ Review: The Man From Fort Worth,A big-as-Texas rags-to-riches story that doubles as reminder of how a single driven “doer” can shape the course of civic life.,20190312
35,Best of the Web,An Army Hero,Travis Atkins will receive the Medal of Honor posthumously for saving lives in Iraq.,20190312
36,Foreign Exchange,Pound Falls After Brexit Is Turned Back,None,20190312
37,Education,Admissions Case Highlights Anxiety About Getting Into the Right College,The federal admissions-cheating case highlights the intense pressure families feel to not only get their child into a good college—but into the best college possible.,20190312
38,Politics,U.S. Moves to Close Overseas Immigration Offices,"The Trump administration is moving to close its 23 Citizenship and Immigration Services offices overseas, directing people seeking immigration services to offices in the U.S. or State Department outposts instead.",20190312
39,New York,Lobbyists Call Casinos in New York City a Safe Bet for State,"New York state is facing a budget crunch, and casino lobbyists say they have a solution: expand gambling options in and around New York City.",20190312
40,U.S.,Hysterectomy-Tool Alert Didn’t Trigger Long-Term Return to Open Surgery,"Warnings about the cancer-spreading risks associated with power morcellators and the subsequent decline in the devices’ use haven’t led to a sustained rise in open surgery for hysterectomy patients, a study has found.",20190312
41,Risk & Compliance Journal,"Novartis, Volkswagen Focus on Improving Culture Following Compliance Setbacks","Executives from Novartis and Volkswagen discussed improving company culture after compliance setbacks, and the changing role of the compliance officer, during a panel discussion.",20190312
42,CFO Journal,Mohawk Industries Names New CFO,"The Calhoun, Ga., based flooring company said Glenn Landau will become chief financial officer and executive vice president, effective April 1. He succeeds Frank Boykin, who will retire as CFO on March 31, 2019",20190312
43,Politics,"Democrats Introduce Dreamers Bill, Reigniting a Debate",Democrats on Tuesday introduced a bill providing permanent legal status and a path to citizenship for hundreds of thousands of young immigrants who came to the country illegally as children.,20190312
44,Business,Lumber Liquidators Settles Probes Into Laminate-Flooring Claims,Lumber Liquidators agreed to pay $33 million in fines after federal authorities accused it of misleading investors about selling laminate flooring that contained excessive amounts of formaldehyde.,20190312
45,Opinion,Health Records Should Focus on the Patient,"If EHRs don’t help patients, doctors or hospitals, whom are they for?",20190312
46,Opinion,Community Banks Exploit Their Strengths,"Because community bankers don’t have the resources of our larger peers, we are forced to innovate.",20190312
47,Credit Markets,"SCE Pays Up in Bond Sale, Showing Impact of State Fires","Southern California Edison agreed to pay higher interest rates Tuesday to borrow money than it did last year, underscoring the continuing fallout from the wildfires that forced a rival utility into bankruptcy.",20190312
48,Tri-State Area,Former Murphy Campaign Staffer Denies Sexual-Assault Allegation,Al Alvarez said he was given time to find new employment after administration officials told him to leave.,20190312
49,Markets,Regulator Slams Wells Fargo After CEO Testifies to Congress,"Wells Fargo Chief Executive Timothy Sloan faced combative questions from a bipartisan group of House lawmakers, his latest test in the yearslong fallout from his bank’s sales-practices scandal.",20190312
50,Markets,"Stitch Fix Shares Rise on Earnings Beat, Outlook","Shares of Stitch Fix jumped, as the online fashion subscription service’s latest quarterly results assuaged investor concerns about customer growth.",20190312
51,Markets,Boeing Bonds Move Little in Wake of Crash,"Boeing Co. shares tumbled for a second day after the latest crash of its 737 MAX aircraft, but the company’s bonds saw little selling pressure.",20190312
52,Dance Review,When a Professional Troupe Dances to a Playlist,"On Thursday, William Forsythe’s high-energy ‘Playlist (EP),’ set to a six-song selection with a cast of 35, had its premiere at the Boston Ballet.",20190312
53,Education,The Man Behind the Alleged $25 Million Cheating Scandal,The man at the center of what prosecutors allege is a more than $25 million scam to help wealthy families bribe their way into elite colleges is 58-year-old William Rick Singer.,20190312
54,Media & Marketing,"CBS Buys Remaining 50% in Pop, a Cable Network, From Lions Gate","CBS said it has acquired the 50% stake in the cable network Pop held by Lions Gate Entertainment, giving it complete ownership of the channel.",20190312
55,Pro Bankruptcy Bankruptcy,Problems Begin to Mount for Edward Lampert’s New Sears,The issues facing Edward Lampert’s new Sears are piling up as the old Sears demands more cash it says it is owed from last month’s sale of the retailer’s assets at a bankruptcy auction.,20190312
56,Credit Markets,U.S. Treasurys Gain After Weak Inflation Data,"U.S. government bond prices rose Tuesday after a key measure of inflation rose less than forecast, bolstering the argument for the Federal Reserve to remain on hold.",20190312
57,Europe,What’s Next for Brexit?,Prime Minister Theresa May’s defeat in Parliament Tuesday on her negotiated deal for Britain’s exit from the European Union intensifies the political turmoil in the U.K. and throws up a range of possible outcomes.,20190312
58,Crime,"Manhattan District Attorney’s Office Funded Testing of 55,000 Rape Kits Nationwide","Some 55,000 sexual-assault evidence kits across the U.S. have been tested as the result of $38 million in grants from the Manhattan district attorney’s office, officials said Tuesday.",20190312
59,Business,Brexit Deal’s Failure Prolongs Corporate Uncertainty,"For businesses, British lawmakers’ rejection of a proposed deal on the terms of the U.K.’s exit from the European Union leaves companies as exasperated as ever.",20190312
60,Markets,Goldman Opens Up In-House Moneymaker to Outside Investors,"A Goldman Sachs Group profit machine that has invested the bank’s own money in Asian property, African startups and troubled U.S. retailers, among other ventures, is opening up to outside investors.",20190312
61,IPOs,African Online Retailer Plans IPO in the U.S.,"Jumia, Africa’s largest e-commerce platform, filed with the SEC for an initial public offering on the New York Stock Exchange.",20190312
62,Economic Data,"U.S. Workers Gain From Rising Wages, Low Inflation","U.S. consumer prices rose in February as energy and food prices picked up, although the broader trend suggested inflationary pressures remain tame.",20190312
63,Politics,U.S. Sending More Central Americans to Mexico to Await Asylum Claims,The Trump administration took another small step this week in implementing a policy requiring asylum-seeking Central Americans to remain in Mexico while their claims are adjudicated.,20190312
64,Business,Dick’s Sporting Goods to Remove Guns From 125 Stores,"Dick’s Sporting Goods will stop selling firearms at 125 of its stores, further pulling back from the business after it decided last year to tighten policies on gun sales.",20190312
