,section,headline,summary,date
0,Business,Teen Vaping Didn’t Cool Juul’s Celebrity Push,"The e-cigarette maker pursued stars like Leonardo DiCaprio and model Bella Hadid, even as concerns mounted.",20190928
1,U.S.,Judge Blocks Trump Administration’s Push for Swifter Immigrant Deportations,A federal district judge blocked the Trump administration from expanding a policy allowing the government to quickly deport illegal immigrants without going through immigration courts.,20190928
2,Education,College Admissions Group to Allow More Aggressive Student Recruiting,"College counselors and admissions officers voted to scrap elements of their ethics code that the Justice Department said stifled competition, under threat of legal action from the federal government.",20190928
3,World,Photos of the Week,"House Speaker Nancy Pelosi begins impeachment inquiry of President Trump, travel agency Thomas Cook shuts down, Greta Thunberg reprimands world leaders and more from The Wall Street Journal’s photo editors.",20190928
4,China,Hong Kong Deploys Water Cannon as Thousands Rally on Anniversary of Umbrella Movement,"Tens of thousands gathered at the scene of pro-democracy protests five years ago, as part of a series of protests ahead of a mass event on Tuesday to coincide with the 70th anniversary of the founding of Communist China.",20190928
5,Culture,Theaters’ New Way to Silence Cellphones: Lock Them Up,More cultural institutions and theatrical producers in New York City are embracing a lockable pouch as a way to curb cellphone use during shows.,20190928
6,Politics,"As Washington Talks Impeachment, Pence Talks Trade","With the impeachment process roiling Washington and enraging his boss, Vice President Mike Pence headed to Indiana and tried to change the subject.",20190928
7,Heard on the Street,Tesla Gets Less With More,Wall Street expects Tesla to report a jump in third-quarter vehicle deliveries next week—but the full quarterly earnings report expected next month may tell another story.,20190928
8,Markets,A Wall Street Revolt That Fizzled,"After an ambitious push to break into the corporate listings business, IEX scrapped its five-year effort to get companies to list with it this week after its only success jumped ship.",20190928
9,U.S.,"In Florida, Push for Strict New Gun Ban",Gun-control advocates in Florida are mobilizing behind an ambitious aim: to pass a ban on semiautomatic rifles with high-capacity magazines for the first time in a Republican-controlled state.,20190928
10,Whats News Business Finance,What’s News: Business & Finance,What’s News: Business & Finance,20190928
11,Opinion,Pepper...and Salt,Pepper...and Salt,20190928
12,Election 2020,Impeachment Upends 2020 Calculations,"The arrival of an impeachment debate instantly reshapes the 2020 presidential race, deepens the already significant political divide over President Trump and complicates the legislative agenda.",20190928
13,Whats News World Wide,What’s News: World-Wide,What’s News: World-Wide,20190928
14,Politics,Leaks Led to Clampdown on Trump’s Phone Records,"The White House moved to clamp down on access to records of presidential phone calls after problematic leaks of sensitive discussions early in the Trump administration, culminating in the use of a secret national security server.",20190928
15,Asia,"Afghan Voter Turnout Appears Light Amid Threats, Fraud Concerns","Afghans trickled to polling stations to vote for a new president, their numbers depleted by fears of attacks by Taliban insurgents and concerns that fraud would render any vote meaningless.",20190928
16,Essay,The American Legacy of Gandhi,"He never set foot in the U.S., but the Indian leader’s life and ideas inspired millions and provoked social change",20190928
17,Finance,Goldman Sachs Tries Banking for the Masses. It’s Been a Struggle.,"With its core businesses on the wane, Goldman has staked its future on consumer banking. So far it has lost $1.3 billion—and its makeover is challenging the firm’s identity as a titan of high finance.",20190928
18,Tech,Catching Gen Z Requires a Big Fish: Instagram,It’s hard to pull people away from the established social-media platforms. Some upstart app developers aren’t even trying.,20190928
