,section,headline,summary,date
0,Latin America,Western Hemisphere Leaders Say They Won’t Recognize Venezuelan Elections,"Leaders from across the Americas centered their attention on Venezuela’s authoritarian government, as the U.S. and Latin America’s biggest nations said they wouldn’t recognize next month’s presidential election, calling it a farce.",20180414
1,Business,WPP Chief Executive Martin Sorrell Steps Down,"WPP’s Martin Sorrell is leaving his post as CEO following the conclusion of a probe into an allegation of personal misconduct, ending his more than three decades of leadership atop the world’s largest advertising company.",20180414
2,World,U.N. Security Council Rejects Resolution Condemning U.S.-Led Airstrikes in Syria,The United Nations Security Council rejected a Russian-backed resolution to condemn U.S.-led airstrikes in Syria after a two-hour debate in which the U.S. said it was poised to strike again if the government of Bashar al-Assad repeats its use of chemical weapons.,20180414
3,Politics,Partisan Divide Defines Congressional Reaction to Syria Strikes,"Democrats complained that President Donald Trump lacked a larger strategy for how to end the Syria crisis, while Republicans applauded the U.S. action against President Bashar al-Assad’s alleged use of chemical weapons.",20180414
4,World,French Publish Report Asserting Assad Used Chemical Weapons in Attack,A French government report published Saturday concluded the regime of Syrian President Bashar al-Assad used chemical weapons in the deadly attack on civilians in Douma last week.,20180414
5,Keywords,What Mark Zuckerberg Didn’t Say About What Facebook Knows About You,"Facebook Inc. Chief Executive Mark Zuckerberg told Congress you have ‘full access’ to the information the social network gathers about you, but it keeps some personal data that you can’t control.",20180414
6,Business,Michael Ferro Sells Tronc Stake to Relative of Former Chicago Tribune Owner,"Tronc Inc.’s largest shareholder, Michael Ferro, has agreed to sell his stake   to a descendant of the McCormick family that built the company’s flagship newspaper, the Chicago Tribune, into a media powerhouse in the early 20th century.",20180414
7,Slideshow,Photos: U.S. and Allies Strike Syria,"The U.S., the U.K. and France launched airstrikes against sites associated with Syria’s chemical-weapons capabilities.",20180414
8,World,Trump Tweets Congratulations to U.S. Allies on ‘Perfectly Executed Strike’,"President Donald Trump declared a “perfectly executed strike” on sites associated with Syrian chemical-weapon capabilities late Friday, a reprisal for an attack last week that killed at least 43 Syrian civilians.",20180414
9,REVIEW & OUTLOOK,Justice for Scooter Libby,Trump pardons a man Bush left behind on the battlefield.,20180414
10,Tri-State Area,"After Recession, Businesswoman Uses New Play Book to Expand","Connecticut small-business owner Lana Corsano lost her home and company after the 2008 recession hit. As she grows a new firm, the lessons loom large.",20180414
