,section,headline,summary,date
0,Sports,Gonzaga and Oregon Lead a Historic Final Four,"With an emphatic 83-59 victory over Xavier, Gonzaga cast aside almost two decades of near misses to reach the Final Four for the first time. Oregon, who upset top-seeded Kansas, will compete appear for the first time since 1939.",20170325
1,U.S.,Suspect Surrenders After One Killed in Shooting on Las Vegas Strip,"The suspected gunman had barricaded himself inside a double-decker bus, prompting police to partially shut down the Las Vegas Strip—one of the busiest tourist corridors in the U.S.—for four hours.",20170325
2,Middle East,U.S. Coalition Acknowledges It Carried Out Airstrike That Allegedly Killed Civilians,The U.S.-led coalition fighting Islamic State in Iraq said it carried out the March 17 airstrike against positions in western Mosul corresponding to allegations of scores of civilian casualties.,20170325
3,Heard on the Street,Obamacare Lives But the Health-Care Bull Is Mortal,"The demise of the American Health Care act should please investors for now. However, the risks of changing health policy have shifted rather than evaporated.",20170325
4,Europe,EU Papers Over Divisions at 60th Birthday Party,"European Union leaders, except British Prime Minister Theresa May, pledged their allegiance to the bloc on the 60th anniversary of its founding, but deep divisions remain over its future after Brexit.",20170325
5,Middle East,NATO Official Sounds Alarm on Russia Libya Role,"Russia’s role in Libya is causing growing concern at the North Atlantic Treaty Organization, a senior official said, with the Kremlin appearing to throw its support behind Gen. Khalifa Haftar, a rival of the United Nations-backed coalition government in Tripoli.",20170325
6,Latin America,China to Resume Accepting Brazilian Meat,"China will reopen its consumer market to Brazilian meat exports, officials in the South American country said, after a scare over alleged corruption in Brazil’s sanitary inspection services prompted major importers to bar shipments.",20170325
7,Sports,Jason Gay: Did You See That Florida Shot? It Was Crazy.,A leaping 3-pointer shocks Wisconsin and sends the Gators to a showdown with South Carolina in the Elite Eight.,20170325
8,Media & Marketing,"The Future of Music: Playing for $30,000 in Tips","More up-and-coming musical and comedy acts are using apps like YouNow and Live.ly to live-stream performances, interact with audiences—and rake in virtual-currency tips.",20170325
9,Oil Markets,"In the Era of Cheap Oil, Gulf Producers Are Forced to Borrow","Some oil producers in the Middle East are weighing taking money up front against future production, as the fall in the price of crude pushes them to look to plug budget holes.",20170325
10,U.S.,Republicans Look to Rescind Status of National Monument,"Even as the tourism industry and visitors embrace Utah’s newly designated national monument, Bears Ears, Republicans are trying to convince President Trump to roll back the protection.",20170325
11,What’s Your Workout?,"To Stay in Shape, Just Add Squash","A friendly rivalry with rackets fuels regular competition between a brother and sister in Washington, D.C.",20170325
12,U.S.,Reversing Monument Designation May Prove Rocky for Trump,President Donald Trump could have trouble undoing the actions of former President Barack Obama to abolish the new Bears Ears Monument in Utah.,20170325
13,World,Dubai Airport Implements U.S. Electronics Ban,"Dubai’s airport, the world’s busiest for international traffic, implemented rules banning most carry-on electronics on flights to the U.S., affecting thousands of passengers flying direct to cities across the country.",20170325
14,Europe,Greece Receives Three Bids in Long-Running Port Saga,"Greece has received three binding bids for a majority stake in its second-largest port in Thessaloniki, the state privatizations agency said, as the country tries to privatize parts of its infrastructure to meet bailout terms.",20170325
15,Soccer,U.S. Stifles Honduras to Regain World Cup Footing,"Recovering from a hole they dug for themselves in November, the U.S. men’s soccer team beat Honduras, 6-0, to move into fourth place in the six-team qualifying tournament for next year’s World Cup.",20170325
16,Whats News Business Finance,What’s News: Business & Finance,What’s News: Business & Finance,20170325
17,Opinion,Pepper...and Salt,Pepper...and Salt,20170325
18,Whats News World Wide,What’s News: World-Wide,What’s News: World-Wide,20170325
19,Politics,"Iowa Congressman Faces Pressure From Donors, GOP Backlash for Not Backing Health Bill",David Young ran twice for Congress promising to do whatever he could to repeal the Affordable Care Act. He will find out in next year’s midterm elections if his refusal to support Republican efforts to dismantle the health-care law will cost him his House seat.,20170325
20,Health Policy,"With GOP Plan Dead, Trump Weighs Other Ways to Reshape Health Care","With the collapse of the GOP health plan, the Trump administration is set to ramp up its efforts to change the Affordable Care Act in one of the few ways it has left—by altering the law through waivers and rule changes.",20170325
21,Markets,A $1 Billion ‘Blank Check’ Is Raised to Shop in the Oil Patch,Investors handed a blank check for $1 billion to a New York investment firm and a retired-energy-CEO-turned-theology-student so they can hunt for an oil business to buy.,20170325
22,College Basketball,A Football Conference Is Taking Over the NCAA Tournament,"Kentucky, Florida and South Carolina advanced to the Elite Eight, playing a physical style that mimics their football counterparts in the SEC.",20170325
23,Latin America,U.S. Farmers Seek Shelter From Nafta Storm,U.S. agricultural producers are lobbying hard on both sides of the Mexico border to try to ensure that a renegotiation of the North American Free Trade Agreement doesn’t turn U.S. farm exports into collateral damage.,20170325
