,section,headline,summary,date
0,Heard on the Street,Time to Redo the Math on Tax Reform Prospects,Any investors who think the failure of health-care reform was somehow a positive because it cleared the way for tax reform may be about to be rapidly disabused of that notion.,20170327
1,U.S.,Sanctuary City Mayors Vow to Protect Immigrants,Leaders of sanctuary cities reaffirmed their commitment to shield immigrants after the Trump administration said it will cut Justice Department funds to cities that don’t fully cooperate with federal immigration authorities.,20170327
2,Europe,"No Evidence Linking London Attacker to Islamic State or al Qaeda, Police Say","Police said there was no evidence to suggest the attacker who killed four in London last week had links to Islamic State or al Qaeda, but said he had a clear interest in Islamist extremism.",20170327
3,Politics,New York State Lawmakers Divided on Justice Reform for Minors,"With less than a week before the New York state budget is due, lawmakers remain divided on a number of polarizing policy issues, and concerned about how future federal legislation may upend the state’s finances.",20170327
4,Business,Brazil’s Vale Names Fabio Schvartsman as CEO,Brazilian mining giant Vale SA said its board approved the selection of Fabio Schvartsman to replace outgoing Chief Executive Murilo Ferreira.,20170327
5,Tri-State Area,"Hartford, ICE in Dispute Over Agents Posing as Local Police","The mayor of Hartford, Conn. is embroiled in a dispute with U.S. Immigration and Customs Enforcement after city officials said federal agents wore outfits which made them seem to be local police officers.",20170327
6,Central Banks,"Rate Increases Should Be Done Gradually, Fed’s Kaplan Says",Federal Reserve Bank of Dallas President Robert Kaplan said he will likely support more interest rate increases as long as the economy continues to see job market gains and a continued move back toward a 2% inflation rise.,20170327
7,Business,Olive Garden Owner Pays $780M for Cheddar’s Chain,"Casual-restaurant chain Cheddar’s Scratch Kitchen will soon share ownership with the likes of Olive Garden, LongHorn Steakhouse and the Capital Grille.",20170327
8,U.S.,Michigan to Pay Flint $87 Million to Replace Lead-Tainted Water Lines,"Michigan agreed to pay $87 million so Flint can replace up to 18,000 lead service lines to help it recover from a tainted-water crisis under a proposed agreement to resolve a lawsuit brought by a group of citizens and an environmental group last year.",20170327
9,Review & Outlook,The Man Putin Hates Most,Alexei Navalny gets another jail term amid opposition protests.,20170327
10,Review & Outlook,Letter to Beijing,"Eleven countries, but not the U.S., slam China’s legal crackdown.",20170327
11,Culture,Broadway Musical Offers Free MetroCards to Boost Ticket Sales,"To increase its box-office, the Broadway musical ‘In Transit’ is offering patrons a free seven-day unlimited MetroCard worth $32 when they buy a full-priced seat for a limited time.",20170327
12,Tri-State Area,Prosecutors Recommend 3 Years in Prison for ‘Bridgegate’ Principals,Federal prosecutors are seeking about three years in prison for two former allies of New Jersey Gov. Chris Christie who were convicted of illegally closing lanes at the George Washington Bridge in 2013.,20170327
13,Global View,A ‘New Approach’ to North Korea,It’s time to make regime change the explicit aim of U.S. policy.,20170327
14,Opinion,How to Engineer a Trump Boom,"Cut taxes, deregulate, build roads, bridges and airports—and don’t start a 1930-style trade war.",20170327
15,Main Street,The G-Man Takes On Donald Trump,FBI Director James Comey isn’t supposed to be America’s political referee.,20170327
16,Opinion,Warren Buffett’s Brief Career as an Ad Man,His visits to our agency were a master class in investing.,20170327
17,Opinion,America Is Ill-Prepared to Counter Russia’s Information Warfare,Propaganda is nothing new. But Moscow is frighteningly effective—and worse is on the way.,20170327
18,Opinion,Saudi Arabia Puts U.S. Energy Producers to a Test—and They Ace It,"It’s entirely feasible for America to become a far bigger oil exporter, even one of the biggest.",20170327
19,Opinion,Notable & Quotable: No News Is Good News?,‘The press has gotten away from its traditional job of just telling readers what the news is.’,20170327
20,Markets,Pimco Settles Contract Suit With Bill Gross for $81 Million,"Pacific Investment Management settled the breach-of-contract suit filed by its co-founder and former star bond manager, Bill Gross, for $81 million.",20170327
21,Review & Outlook,The GOP Entitlement Caucus,The Freedom Caucus wastes the best shot at fiscal restraint in years.,20170327
