,section,headline,summary,date
0,Politics,Judge Blocks Trump Administration Policy of Returning Asylum Seekers to Mexico,A federal judge blocked a Trump administration policy of returning asylum-seeking Central Americans to Mexico while their requests for admission to the U.S. are adjudicated.,20190408
1,NewsPlus,"Dollar Extends Slide and is Now Looking Vulnerable, Says Analyst","The U.S. dollar on Tuesday fell for a second straight session, dragging the index to its lowest level in nearly two weeks.",20190408
2,MLB,Trump Administration Blocks Baseball Players From Cuba,"The Trump administration blocked Major League Baseball from signing players directly from Cuba to play professionally in the U.S., nullifying a historic deal the league struck in December.",20190408
3,Business,Wynn Resorts Bids $7.1 Billion for Australia’s Crown Resorts,"Wynn Resorts of Las Vegas offered to buy Australia’s Crown Resorts for about $7.1 billion, in the latest sign that global gambling companies are looking to get bigger as they battle with online gaming.",20190408
4,Politics,Bank Chiefs to Tell Congress: Financial System Is Much Safer,The chief executives of the largest U.S. banks plan to tell Congress on Wednesday that the financial system is less risky and more tightly supervised than it was before the 2008 crisis thanks to a series of regulatory reforms.,20190408
5,U.S.,Baltimore City Council Calls for Mayor Catherine Pugh to Resign,"Nearly the entire Baltimore City Council called for Mayor Catherine Pugh to resign, ratcheting up pressure on the Democrat over revelations she grossed hundreds of thousands of dollars selling her children’s books to businesses.",20190408
6,Culture,The Temptations Are Hitting Record High Notes on Broadway,"‘Ain’t Too Proud,’ which chronicles the lives of the Motown legends, grossed $1.3 million for the week ended this past Sunday, its best seven-day period to date, according to the Broadway League.",20190408
7,Politics,California Rep. Eric Swalwell Announces 2020 Democratic Presidential Campaign,"Rep. Eric Swalwell of California opened a long-shot bid for the Democratic presidential nomination, injecting youth and a prosecutor’s zeal into the crowded 2020 field.",20190408
8,Middle East,"Libyan Warlord’s Aircraft Attack Tripoli Airport, Defying U.S. Pressure","Forces loyal to Gen. Khalifa Haftar carried out an airstrike against the Libyan capital’s only functioning airport, as the rogue military commander defied U.S. calls to halt an assault on Tripoli.",20190408
9,Review & Outlook,All Bernie’s Socialists,The candidate’s advisers want America to be more like Venezuela.,20190408
10,Review & Outlook,"‘Equal Death Day’: May 3, 2030",Another unequal fact of life: Men are more likely to be killed on the job.,20190408
11,Review & Outlook,More Reality Recognition on Iran,Labeling the IRGC a terrorist organization is simple truth-telling.,20190408
12,U.S.,Man Arrested for Allegedly Plotting Truck Terror Attack in Washington Area,"A Maryland man was arrested for allegedly planning to use a stolen rental truck to mow down pedestrians at a popular Washington-area dining and shopping destination in a plot inspired by the terrorist group Islamic State, authorities said.",20190408
13,Opinion,‘Big Business’ Review: What Socialism Gets Wrong,"It sounds almost sophomoric to say it, but big business has its virtues. It makes most of what we consume, and it gives most of us our jobs.",20190408
14,Review & Outlook,Many Unhappy Trump Returns,Democrats think they can embarrass the President over his tax secrecy.,20190408
15,Opinion,"Conservatives, Resist the Tribal Temptation",American ideals are open to all. Embracing the left’s racial essentialism is a serious mistake.,20190408
16,Global View,Make-Believe Meat and the Future,"Shamburgers won’t replace steaks, but perhaps they’ll ease global warming a bit.",20190408
17,Main Street,Cheating on the SATs,How is what Harvard does different from the charges against Felicity Huffman?,20190408
18,Opinion,"If You Drive, You Should Pay",America’s roads are crumbling. The best way to save them is by imposing tolls.,20190408
19,U.S.,Chinese Woman Arrested at Mar-a-Lago Had Cache of Electronics,"A Chinese woman arrested for entering President Trump’s Mar-a-Lago without authorization had $8,000 in U.S. and Chinese currency and a cache of electronic devices in her room, a prosecutor said.",20190408
20,Opinion,An Overdue Apology to Italian-Americans,"An enormous, savage mob lynched 11 in 1891 New Orleans.",20190408
21,Opinion,The Comedian vs. the Hero of Ukraine,"Petro Poroshenko, the man who stood up to Putin, deserves better than to be fired at history’s whim.",20190408
