,section,headline,summary,date
0,Crime,"Terror-Finance Suspect Benefited From Visa Program, U.S. Authorities Say","Zoobia Shahnaz, accused of participating in a bitcoin scheme to help Islamic State, got a visa allowing her into U.S. because of her family ties, according to the Department of Homeland Security.",20171223
1,U.S.,Top Miss America Officials Resign After Leaked Emails,"President Josh Randle, CEO Sam Haskell and Chairman Lynn Weidner, implicated in a series of emails that targeted past pageant winners for abuse, stepped down.",20171223
2,Asia,Tropical Storm Kills More Than 100 in Philippines,"A tropical storm in the southern Philippines unleashed flash floods that swept away people and houses and set off landslides, reportedly leaving more than 120 people dead and 160 others missing.",20171223
3,Europe Economy,"Italy Senate Approves Budget, Paving Way for Elections","Italy’s Senate gave its final approval to the 2018 budget, dispatching the chamber’s last major piece of legislation and paving the way for the dissolution of parliament as soon as next week.",20171223
4,U.S.,The New York 2017 Quiz,17 questions to test your knowledge of the region’s notable stories.,20171223
5,What’s Your Workout?,Employees’ Hill Climbing Was Step-by-Step Morale Booster,A factory boss joins her employees on a strenuous set of Los Angeles stairs during lunch.,20171223
6,Fitness,Gyms Ditch Machines to Make Space for Free Weights,"Traditional health clubs are removing some cardio and weight machines to open floor space for more personal and small-group training, as experienced gym-goers seek more engaging workouts.",20171223
7,Business,One Thing Tax Overhaul Won’t Do? Simplify Corporate Taxes,Corporate executives hoped lawmakers would deliver significant tax cuts and a simpler tax system. They may get half of what they wanted.,20171223
8,Art Review,‘Justin Kimball: Elegy’ Review: Documents of Decay,A photographer catalogs the victims of deindustrialization between 2012 and 2016.,20171223
9,Africa,Hundreds Storm Coptic Church in Egypt,An Egyptian Coptic Christian diocese said that hundreds of Muslim demonstrators had assaulted one of its churches.,20171223
10,Whats News Business Finance,What’s News: Business & Finance,What’s News: Business & Finance,20171223
11,Whats News World Wide,What’s News: World-Wide,What’s News: World-Wide,20171223
12,Opinion,Pepper...and Salt,Pepper...and Salt,20171223
13,Middle East,The Price of Freedom for Saudi Arabia’s Richest Man: $6 Billion,"Saudi authorities are demanding at least $6 billion from Saudi Prince al-Waleed bin Talal to free him from detention, people familiar with the matter said, potentially putting the global business empire of one of the world’s richest men at risk.",20171223
14,Business,"China, Flush With Cash, Sets Sights on Shipping","China poured $20 billion into ship financing this year, a reflection of the country’s ambition to become the world’s dominant maritime player as European banks have scaled back their investments.",20171223
15,Latin America,Argentina Wants Cheap Flights—But Not Too Cheap,"Argentina’s pro-business President Mauricio Macri is inviting low-cost airlines to invest in Argentina’s uncompetitive air-travel market, as long as they do something they do nowhere else: keep their prices high.",20171223
16,Markets,"Bitcoin Cash, Litecoin, Ether, Oh My! What’s With All the Bitcoin Clones?","Bitcoin’s wild ride has gotten a huge amount of attention. But over the past two weeks, some of its crypto cousins, like Litecoin and Bitcoin Cash, have muscled their way into the spotlight.",20171223
