,section,headline,summary,date
0,Politics,FBI Abandons Use of Term ‘Black Identity Extremism’,The Federal Bureau of Investigation’s director said the bureau has abandoned the term “black identity extremism” as part of a broad reconceptualization of how it thinks about racially motivated crime.,20190723
1,U.S.,Facebook Expected to Settle SEC Claims of Inadequate Disclosures Over Privacy Practices,The SEC is expected to announce a settlement with Facebook on Wednesday related to claims it inadequately disclosed risks involving its privacy practices.,20190723
2,Corrections,Corrections & Amplifications,"Corrections & Amplifications for the edition of July 24, 2019",20190723
3,Politics,Trump Wants to Punish Guatemala Over Failed ‘Safe Third Country’ Deal,President Trump threatened to punish Guatemala for what he described as the country’s reneging on a proposed deal to welcome Central American asylum seekers.,20190723
4,Tech,Facebook Settlement Requires Zuckerberg to Certify Privacy Protections,Facebook CEO Mark Zuckerberg will have to personally certify that the company is taking steps to protect consumer privacy under a settlement expected to be announced with the Federal Trade Commission Wednesday.,20190723
5,Markets,Visa Beats Projections on Higher Card Spending,"Visa reported strong financial results on the back of higher card spending, as the company touted its push into the financial-technology sector, including its possible role in Facebook’s Libra project.",20190723
6,Risk & Compliance Journal,U.S. Warns of Dealing With Iranian Airlines,"The U.S. warned companies against dealing with Iranian airlines, alleging that many of them support Iran in regional violence by transporting fighters and weapons to international locations.",20190723
7,Business,UPS to Start 7-Day Delivery,"United Parcel Service will next year start delivering packages on Sundays, following the move of FedEx as the two work to meet the demands of online shopping.",20190723
8,Schools,New York Private-School Oversight Proposal Sparks More Ire,"More than 24,000 people flooded the New York State Education Department with comments in the past three weeks about a controversial plan that would increase its oversight over private schools.",20190723
9,Best of the Web,Elizabeth Warren’s Debt Warning,"Claiming to have called the last financial crisis, the presidential candidate predicts a new one.",20190723
10,Future View,The Corporations and the Culture War,The big companies are becoming ‘woke.’ Students discuss why.,20190723
11,Review & Outlook,Boris for Brexit,The new British Prime Minister has one mandate above all.,20190723
12,Review & Outlook,Robert Mueller’s Summer Re-Run,Democrats hope the special counsel will revive impeachment.,20190723
13,Opinion,The Bipartisan Spending Party,Two more years with no tradeoffs and no fiscal accountability.,20190723
14,Business World,Prove the Tweets Were Racist,The media undertakes Mission Impossible in trying to categorize Trump statements.,20190723
15,Politics & Ideas,The Drug-Price Problem Won’t Heal Itself,"Costs for insulin and other vital treatments are rising rapidly, and Congress must step in.",20190723
16,Opinion,My Editor Helped Win the Cold War,Bill Schulz helped keep Reader’s Digest anti-Communist.,20190723
17,Opinion,‘The Bank War and the Partisan Press’ Review: Old Hickory’s Secret Weapons,"In his effort to kill the Second Bank, Andrew Jackson marshaled the power of his post ofﬁce and the Washington press.",20190723
18,CIO Journal,Microsoft’s Focus on Big Customers Propels Cloud Sales,"Microsoft’s bet on delivering business software over the internet is paying off, thanks to the tech giant’s ability to understand the needs of its corporate customers and help them adjust to a rapidly changing market.",20190723
19,Earnings,"Coca-Cola Sales Boosted by Soda Gains, Coffee Push","Coca-Cola’s quarterly profit and sales rose, boosted by higher demand for its namesake soft drinks and the introduction of coffee, energy drinks and other products.",20190723
20,Politics,Senate Passes Bill Securing 9/11 Compensation Fund,"The Senate approved legislation that would extend funding to cover claims by victims of the Sept. 11 terrorist attacks for the rest of their lives, clearing the last hurdle before the bill goes to President Trump’s desk.",20190723
21,Opinion,Congress Is Right to Fund the LWCF at Last,"The Land and Water Conservation Fund (LWCF) was authorized by Congress in 1965 to receive $900 million annually. Over the years, much of that money was appropriated elsewhere, and according to the Journal’s own calculations, the fund has been shortchanged.",20190723
22,Opinion,"Housing Bubbles, Race and Federal Policy","Furthermore, the suggestion that “something other than racism is at work” when explaining racial disparities in loans and homeownership, fails to consider the historic role of racism in federal homeownership programs.",20190723
23,Opinion,Proposed IRA Changes Fair and Reasonable,"The number of taxpayers positively impacted by the rise in age from 70.5 to 72 surely dwarfs the number of heirs, who are theoretically affected by the proposed limitations on stretch IRAs.",20190723
24,Opinion,Can Boris Make Good on Brexit?,"If the new prime minister can’t complete the divorce with Brussels, his party will face the voters’ wrath.",20190723
25,Upward Mobility,The End of an Anti-Immigration Environmentalist,"John Tanton supported Planned Parenthood and Zero Population Growth, then struck out on his own.",20190723
26,Opinion,The FBI’s Obstruction Probe Had No Basis,"McCabe ordered it because Trump fired Comey, which he had every right to do.",20190723
27,Opinion,Secret Laws for the Powerful,"Federal agencies too often legislate via informal, obscure rules and letters.",20190723
28,WSJ News Exclusive,"WeWork Aims to Go Public in September, Sooner Than Expected","Office-space company WeWork is aiming to go public in September, earlier than many investors had expected, after boosting a loan facility the office-space manager hopes will pave the way for the listing.",20190723
29,Tri-State Area,Some Con Edison Customers Still Waiting For Power,"Crews scrambled to fix outages affecting thousands of customers around New York City on Tuesday, including ones in which residents had been without electricity for two days.",20190723
