,section,headline,summary,date
0,World,Trump to Meet South Korea’s President Moon,South Korea’s President Moon Jae-in will meet with President Trump at the White House in April to discuss their efforts to denuclearize the Korean Peninsula.,20190328
1,U.S.,"Supreme Court Halts Execution, Ruling Inmate Entitled to Buddhist Cleric","The Supreme Court blocked Texas from executing a Buddhist inmate Thursday, saying that the condemned man was entitled to a spiritual adviser in the death chamber just as Christian prisoners may request a chaplain’s presence.",20190328
2,Markets,SEC Delays Program to Rein In Rebates in Win for Exchanges,The Securities and Exchange Commission temporarily halted its own initiative to limit the rebates that stock exchanges can pay to attract investors’ orders.,20190328
3,Politics,"Trump Boasts About Mueller Report, Jeers ‘Collusion Delusion’ at Rally",President Trump hailed the end of the “collusion delusion” at a campaign rally in Michigan on Thursday and accused his political opponents of trying to “tear up the fabric of American democracy.”,20190328
4,Corrections,Corrections & Amplifications,"Corrections & Amplifications for the edition of March 29, 2019",20190328
5,U.S.,Federal Judge Blocks Trump Rule on Association Health Plans,"A federal judge on Thursday struck down a Trump administration rule expanding access to a certain health plans that don’t comply with the Affordable Care Act, a blow to the president just as he promises to deliver a replacement package for the health law.",20190328
6,Politics,Trump Pledges to Fund Great Lakes Restoration,"President Trump said he would look to fully fund the $300 million Great Lakes Restoration Initiative, reversing the sharp cuts proposed in his recent budget proposal for the next fiscal year.",20190328
7,Business,California Governor Disapproves of Proposed PG&E Board,California Gov. Gavin Newsom strongly criticized what he described as plans by PG&E Corp. to stack its board of directors with hedge fund financiers interested in “prioritizing quick profits for Wall Street over public safety.”,20190328
8,Tri-State Area,Whistleblower Says Jackson Hewitt Lied to Get Tax Credits,A former Jackson Hewitt executive told a task force investigating New Jersey’s corporate tax-incentive program that the company lied about its plans to leave the state to secure $2.7 million in tax credits.,20190328
9,World,U.N. Security Council Asks Nations to Adopt Laws on Terror Financing,The U.N. Security Council unanimously approved a resolution naming terrorist financing a serious crime and demanding that all countries set up a domestic legal framework to counter the practice.,20190328
10,New York,"New York City Will Cut Its Fleet of Vehicles By 1,000","New York City plans to reduce its fleet of official vehicles by 1,000 to decrease emissions and ease congestion, but the cuts will only make a small dent in the total number, which has grown under Mayor Bill de Blasio.",20190328
11,Education,California Lawmakers Look to Reform College Admissions After Scandal,California lawmakers proposed a package of bills Thursday that includes making it harder for students designated as athletes and children of alumni and donors to get preferential admissions at state universities.,20190328
12,Declarations,The Two Americas Have Grown Much Fiercer,The U.S. was divided 46 years ago. But no one saw it as a fight to the death.,20190328
13,Review & Outlook,Steve Moore for the Fed,"If making wrong forecasts is a problem, he has lots of company.",20190328
14,Review & Outlook,New York’s Pied-à-Terre Politics,The latest money grab would crash the luxury real-estate market.,20190328
15,Review & Outlook,Meet the ObamaCare Bulls,A merger shows how much big insurers love big government.,20190328
16,Opinion,The Case for Medicare for All,"You’d be able to keep your doctor with no premiums or copays, and overall spending would decline.",20190328
17,Political Economics,The U.K.’s Brexit Journey of Self-Discovery,"Crises of identity are common in the West, but Britain’s came with an impossible deadline.",20190328
18,Houses of Worship,The Islamic World’s China Blind Spot,Many Muslim states are afraid to criticize Beijing over its repression of Uighurs,20190328
19,Opinion,"A Day at the Office With John, Paul, George, Ringo and Grandpa",Ed Sullivan’s grandsons got to meet the Beatles when he took them to work in February 1964.,20190328
20,Politics,Trump Pick for Justice Department No. 3 Official Withdraws From Consideration,"President Trump’s pick for the Justice Department’s No. 3 position is withdrawing from consideration, citing opposition from Republicans over her involvement more than a decade ago in a lawyers group that took pro-abortion-rights positions.",20190328
21,Potomac Watch,The Mueller Bitter Enders,The special counsel wraps up his work and opens up another Democratic split.,20190328
22,Bookshelf,‘Infinite Baseball’ Review: A Philosopher at the Ballpark,"More than a game? Amid the excitement of Opening Day, reflections on how to think about thinking about baseball.",20190328
23,Opinion,Hollywood Admits Abortion Is Violent,"The MPAA gives ‘Unplanned’ an R rating, fittingly.",20190328
