,section,headline,summary,date
0,Business,UBiome Interim CEO to Leave Company,John Rakow is leaving after two months as interim chief executive as the lab-testing startup shakes up its leadership for the second time since a federal investigation into its billing practices became public two months ago.,20190630
1,U.S.,10 Killed in Dallas-Area Small-Plane Crash,"Ten people were killed when a small airplane crashed into a hangar while taking off from a Dallas-area airport Sunday morning, a spokeswoman for the town of Addison, Texas, said.",20190630
2,World,Trump’s Twitter Invitation to Kim Set Off 24-Hour Scramble,"President Trump surprised his own advisers when he offered on Twitter to “say Hello(?)!” to North Korea’s Kim Jong Un on the border between North and South Korea, setting into motion a 24-hour scramble to prepare for a possible meeting.",20190630
3,Corrections,Corrections & Amplifications,"Corrections & Amplifications for edition of July 1, 2019",20190630
4,NBA,"Durant, Irving Pick the Nets","The two NBA stars are coming to New York to play for the Nets, not the Knicks, as free agency begins with a frenzy of signings on Sunday night.",20190630
5,World,New OPEC-Russia Pact on Oil Cuts Could Last Well Into 2020,"OPEC and its Russia-led allies are likely to extend by nine months their deal to cut output, a sign that some major crude-producing countries are concerned about the possibility of shrinking demand.",20190630
6,New York,New York Pride March Attracts Big Crowds,"Throngs of spectators lined the route of the NYC Pride March, the LGBTQ community’s annual push for equality, as it commemorated the 50th anniversary of the uprising at Greenwich Village’s Stonewall Inn.",20190630
7,State Street,Progressive Groups Eye New York Incumbents to Challenge,Progressive groups that propelled insurgent candidate Tiffany Cabán to finish ahead in the race to become Queens district attorney are already eyeing their next political targets.,20190630
8,Slideshow,Throngs Gather for New York Pride March,"The NYC Pride March on Sunday drew enormous crowds to an event that commemorated the 50th anniversary of the uprising at Greenwich Village’s Stonewall Inn, considered a defining moment in the gay-rights movement.",20190630
9,Tri-State Area,"New Jersey Passes Budget, Avoids a Government Shutdown","New Jersey Gov. Phil Murphy signed a $38.7 billion state budget, despite the legislature’s denial of some of his key priorities, averting a government shutdown that would have started Monday.",20190630
10,Review & Outlook,The Trump Doctrine,"With this President, the diplomacy is always personal.",20190630
11,World,Key Dates in the U.S.-China Trade Conflict,Washington and Beijing have been exchanging levies and threats for more than a year in their continuing trade dispute.,20190630
12,Review & Outlook,Is That Bacon Merely Fakin’?,"As veggie alternatives gain ground, farmers try to seize the language.",20190630
13,World,Australian Rugby Star’s Anti-Gay Post Exposes Fault Lines,The firing of one of Australia’s best-known sports stars for saying gay people are headed for hell has exposed social fault lines and sparked debate about what constitutes religious expression.,20190630
14,Markets,Trade Truce a Relief to Markets—For Now,"Stocks and other risky assets are likely to enjoy a brief rally after the emergence of a trade truce over the weekend, though concerns about the U.S. and China’s long-term relationship and the path of interest rates could keep a lid on any gains.",20190630
15,Review & Outlook,"Church, School and the Supreme Court",The Justices finally tee up a state Blaine Amendment for review.,20190630
16,Pro Bankruptcy Bankruptcy,Oil-Field Services Company Weatherford to File for Bankruptcy,"Weatherford International, a Swiss-based oil-field services company, said it would file for bankruptcy protection after bondholders approved a restructuring agreement that will reduce its total debt by about 70%.",20190630
17,Pro VC New Money,Biotech Startup Century Therapeutics Lands $250 Million in Venture Financing,Corporate and venture-capital investors are funneling $250 million into startup Century Therapeutics to finance an effort to cure cancers through a new type of cellular therapy.,20190630
18,U.S.,"Was ‘Bridgegate’ Criminal, or Just Dirty Politics?","By agreeing to hear the New Jersey case about traffic as political payback, the Supreme Court might be aiming to limit prosecutors’ ability to bring charges against officials without clear bribery or kickback schemes.",20190630
19,Opinion,Is the Supreme Court’s Job to Defer?,Kagan and Gorsuch clash over separation of powers and the right method of interpreting regulations.,20190630
20,Opinion,INF Treaty Defenders Raise the Risk of Nuclear War,A dangerous plan to ban research and development of intermediate-range conventional weapons.,20190630
21,Opinion,An Underdog Challenges Erdogan,"The president, a former Istanbul mayor, has a rival in the current one.",20190630
22,Opinion,Mrs. Swalwell May Still Be Undecided,I admire people who had the good sense not to watch last week’s debates. I wasn’t among them.,20190630
23,Inside View,"Kill Section 230, You Kill the Internet",Leave Big Tech intact and free to moderate content—but make the rules transparent.,20190630
24,Americas,Dialogue With Maduro Is a Trap,Cuba is employing its age-old tricks in an effort to keep the dictator in power.,20190630
25,Opinion,My Customers Don’t Pay Trump’s Tariffs,We negotiated lower prices from Chinese factories instead.,20190630
26,Bookshelf,‘Old Whigs’ Review: Rejecting the Extremes,"Today’s overheated politics make prudent statesmanship seem hopelessly distant, but our future may depend on it—yet again.",20190630
27,Markets,"As Stocks Hover Near Records, Growth Worries Linger","Stocks are flirting with records again, but many investors are struggling to discern how much longer the bull market can continue.",20190630
28,Economy Week Ahead,"Economy Week Ahead: International Trade, Manufacturing, Jobs","In the week ahead, the U.S. will see fresh manufacturing, trade and employment data.",20190630
29,U.S.,England Entertains Thoughts of World Cup Victory,"England hasn’t been ready to win much of anything in soccer over half a century. Now the manager of the women’s national team, Phil Neville, knows what he has: a powerhouse in the making.",20190630
30,U.S.,Apartment Demand Hits Five-Year High,"Demand for rental apartments reached a five-year high this spring, spurred by new household formation and lagging home sales.",20190630
31,Opinion,Blinder Risk-Assessment Approach Is Mistaken,"Before the last financial crisis, bank regulators and the SEC had plenty of power to stop the increase in leverage occurring among the largest banks, which seriously destabilized the industry. They chose not to.",20190630
32,Opinion,Qatar’s Banks Are No Haven for Terrorists,Qatar can state for certain that our financial system is not being used by those who support terrorism.,20190630
33,Opinion,Prof. Feldstein and Apple and Orange Prices,"When apples go up in price (because of rising costs to producers, transporters, retailers, etc.) and people switch to oranges, the increased demand for oranges causes the price of oranges to rise.",20190630
