,section,headline,summary,date
0,U.S.,"FAA, Boeing Have Tussled Over Pilot Training for 737 MAX Software Fix","Boeing Co. and U.S. air-safety regulators have been at odds over how much pilot training will be required in conjunction with a software fix for a flight-control feature at the center of the global grounding of the company’s 737 MAX jets, according to people familiar with the details.",20190315
1,Corrections,Corrections & Amplifications,"Corrections & Amplifications for the edition of March 16-17, 2019",20190315
2,World,Terrorist Suspect Traced His Radicalization to a Visit to France,"The man charged with murder in the terrorist attacks in New Zealand wrote that what fueled him was a visit to Western Europe, in particular France. Many of the ideas in his screed—including its title—echo the writings of 72-year-old French author Renaud Camus.",20190315
3,Education,Yale Was Subpoenaed in November Related to Admissions-Cheating Scandal,"Rudy Meredith, the women’s soccer coach who was charged this week in relation to a sprawling college-admissions cheating scheme, resigned from Yale a day before the university received a federal grand-jury subpoena.",20190315
4,Markets,Pimco Says Employees Used Key Figure in Scandal for College Prep,Pacific Investment Management Co. said employees had used the services of the firm founded by the man at the center of a sweeping college-admissions scandal but it had “no information” suggesting they acted improperly.,20190315
5,Review & Outlook,China Shields a Jihadist,Beijing blocks a U.N. attempt to sanction the Kashmir killer.,20190315
6,Review & Outlook,Pritzker’s Illinois Exit Ramp,The new Governor proposes blowing up the state flat tax.,20190315
7,CMO Today,Digital Media Companies Tell Ad Giant It’s ‘All Hands on Deck’ to Pull New Zealand Video,"Facebook, Google and Twitter sought to reassure one of the world’s largest ad buyers they were striving to block violent content after video of the New Zealand terrorist attacks ricocheted around social media.",20190315
8,Education,"On Campus, the Fallout From the College Admissions Scandal","Colleges caught up in the admissions cheating scandal are looking at how to handle donations they received as part of the alleged fraud and, in some cases, determine just how much money they got.",20190315
9,Slideshow,Underwater Portraits,A sampling of the 2019 photo winners.,20190315
10,Health Policy,Red States Seek to Remake Medicaid,"Republican-led states are stepping up their efforts with the Trump administration to pursue work requirements and other changes to Medicaid, in the face of legal challenges and Democratic opposition.",20190315
11,Cross Country,"Los Angeles Dries Out After a Wild, Wet Winter","When it comes to precipitation in Southern California, there’s no such thing as ‘normal.’",20190315
12,Notable & Quotable,Notable & Quotable: Green Raw Deal for Labor,“We will not accept proposals that could cause immediate harm to millions of our members and their families.”,20190315
13,Business World,Is There a Green Rational Deal?,Congressional Democrats propose a fantastically expensive plan to fix precisely nothing.,20190315
14,Opinion,St. Patrick Brought the Green Stuff to My Barkeep Parents,Their eponymous Irish establishment enjoyed banner business on the local Parade Day.,20190315
15,Sports,U.S. Soccer President Surprised by Gender-Discrimination Suit Filed by Women’s Team,"U.S. Soccer Federation President Carlos Cordeiro said the organization was surprised by the gender-discrimination lawsuit filed by the U.S. Women’s National Team, saying players hadn’t earlier voiced complaints.",20190315
16,CFO Journal,SEC Lawsuit Hampers Volkswagen CFO’s Efforts to Regain Investor Trust,"It has been “a tough week,” Chief Financial Officer Frank Witter said in an email, referring to several events that have weighed down the auto maker.",20190315
17,Business,Ford to Slash Jobs Across Europe,"Ford Motor Co. plans to cut more than 5,000 jobs in Germany and another undetermined number of employees in the U.K., a company spokeswoman said Friday.",20190315
18,Politics,Trump Vetoes Congressional Disapproval of Emergency Declaration,"President Trump vetoed a congressional resolution disapproving of his national-emergency declaration, the first veto of his presidency.",20190315
19,U.S. Markets,"U.S. Stocks Rise, End Week With Gains","U.S. stocks rose and finished the week with gains, as rallying technology shares helped offset losses elsewhere.",20190315
20,Commodities,Gold Moves Up on Brexit Twists,"Gold prices rose Friday, boosted by a weaker dollar and concerns over Britain’s bid to leave the European Union.",20190315
21,Keywords,It’s Hard to Spot the Terrorists Among the Trolls,"By combining the online culture of trolling and real-world terrorism to a degree no previous attacker has done, the alleged New Zealand shooter showed how the two exist as points on a unified spectrum of sadism and hate.",20190315
22,Bookshelf,‘Horizon’ Review: A Life on Earth,A master nature writer mixes memoir with evocations of the extreme landscapes to which he’s been drawn.,20190315
23,Markets,$10 Billion Corporate Debt Sale Highlights Credit Market’s Recovery,"The world’s largest maker of car batteries is set to sell more than $10 billion worth of speculative-grade debt to fund its purchase by an investor-group led by Brookfield Business Partners, underscoring a resurgence in demand for low-rated bonds and loans.",20190315
24,Business,Disney Rehires ‘Guardians of the Galaxy’ Director James Gunn,Disney’s Marvel Studios unit has reinstated James Gunn as director of the third installment of its “Guardians of the Galaxy” movie franchise.,20190315
25,Business,Boeing Chief Dennis Muilenburg Takes Low Profile After Crash,Chief Executive Dennis Muilenburg has released few public statements since the fatal crash of a Boeing 737 MAX earlier this week. It is a strategy that crisis communication experts say carries benefits as well as risks.,20190315
26,World,U.S. Swipes at International Court Over Afghanistan Investigations,"Secretary of State Mike Pompeo said the U.S. is imposing visa restrictions against International Criminal Court officials, citing investigations by the ICC into the activities of Americans and their allies in Afghanistan.",20190315
27,Politics,Pentagon Fails to Provide List of Projects Affected by Emergency,"The Pentagon failed to deliver on a promise by acting Defense Secretary Pat Shanahan to provide senators with a list of military construction projects that stand to be affected by President Trump’s emergency declaration, angering lawmakers.",20190315
