,section,headline,summary,date
0,New York,Investigation of New York City Shelter Operator Grows,New York City officials have expanded their investigation into a top nonprofit contractor that operates homeless shelters after discovering it has alleged undisclosed ties to a second for-profit company.,20190825
1,Latin America,Mexico Nears Deal to Resolve Pipeline Conflict,The administration of Mexican President Andrés Manuel López Obrador has reached a preliminary agreement with four private energy companies to resolve a monthslong conflict over natural-gas-pipeline contracts.,20190825
2,Business,U.S. Companies on China: Breaking Up Is Hard,"American businesses, from technology startups to large corporations, say they cannot quickly upend their supply chains and stop doing business in China.",20190825
3,U.S.,Trump Aides Say He Isn’t Ordering U.S. Companies Out of China,"President Trump didn’t order U.S. companies to leave China and has no plans to invoke emergency powers to force them to relocate their operations, top administration officials said on Sunday, after a tumultuous week for trade negotiations.",20190825
4,The A-hed,"No Eggs, No Cream: New York’s Milkshake Gone Wrong Won’t Die","Fans mix up variants on the fizzy concoction to save it; Nutella, whiskey",20190825
5,State Street,Working Families Party Fights to Keep Fusion Voting,"The battle over New York’s fusion-voting system is playing out at a state commission overseeing campaign-finance-reform efforts, with the latest shots fired at a meeting last week.",20190825
6,Heard on the Street,VMware Goes Beyond Dell Family Matters,"With its stock price being beaten down, software maker VMware will have to show it can juggle two complex acquisitions and while still managing some tricky Dell family relationships.",20190825
7,Business,Disney Stores Headed to 25 Target Locations,"Target and Disney have joined forces to open dedicated Disney Stores in about two dozen Target locations starting this fall, the latest example of a large retailer offering a specialty shop within its walls.",20190825
8,World,Trump Says U.S. and Japan Have Reached Trade Deal in Principle,"President Trump said the U.S. and Japan had reached a trade deal “in principle” that would pave the way for more U.S. farm exports to Japan, while dropping the threat of U.S. tariffs on Japanese cars.",20190825
9,Middle East,Iran’s Foreign Minister Makes Unexpected Visit on Sidelines of G-7 Meeting,"Iran’s top diplomat made a surprise visit Sunday to the city hosting the Group of Seven summit, meeting with a delegation including President Emmanuel Macron as leaders grappled with how to defuse tensions and salvage a multination landmark nuclear deal after a U.S. pullout.",20190825
10,Review & Outlook,Bernie’s Green Leap Forward,Cost: $16 trillion. Fracking: banned. Oil CEOs: in jail.,20190825
11,Review & Outlook,Qualcomm Gets a Reprieve,The Ninth Circuit stays a bad ruling that would harm 5G innovation.,20190825
12,Review & Outlook,Smearing Steven Menashi,CNN and MSNBC distort another judicial nominee’s views.,20190825
13,Economy Week Ahead,"Economy Week Ahead: Durable Goods Orders, Personal Income","In the week ahead, the U.S. Commerce Department releases data on durable goods orders and personal income. Canada issues GDP numbers, and China publishes factory numbers.",20190825
14,Opinion,What Influence Should Stakeholders Have?,"Were stakeholder momentum coming just from Sen. Warren and social-justice activists, it is unlikely that the Business Roundtable would have felt a need to appease.",20190825
15,Opinion,"Audiobooks, Print Give Different Advantages","While Mr. Austin sees correct prosody as a selling point for audiobooks, I see it as an intrusion on the spaces in my mind.",20190825
16,Opinion,Reward for Brave Wokeness,"Alert students, such as the New School genius who informed the authorities of his/her/its agony at hearing James Baldwin’s actual choice of words, should be rewarded for his/her/its bravery.",20190825
17,Election 2020,Ex-Congressman Joe Walsh Begins Republican Campaign Against Trump,"Former U.S. Rep. Joe Walsh launched a long-shot Republican presidential campaign, casting President Trump as a failed leader.",20190825
18,Inside View,The Market Gets What It Wants,"Its recent drop is like a tantrum, screaming at President Trump to knock off the tariffs.",20190825
19,The Americas,What You Haven’t Read About Brazil,"The Amazon fires are mainly the result of drought, while Bolsonaro’s reforms are paving the way for faster growth.",20190825
20,Bookshelf,‘Free Enterprise’ Review: A Motto for Capitalism,Free enterprise was touted as “an old-fashioned verity” at odds with the New Deal’s vogue for public-sector programs.,20190825
21,Opinion,Don’t Hate Koch Because He Was Generous,He didn’t demand his beneficiaries march in ideological lockstep. His detractors do.,20190825
22,Opinion,The Weaponization of History,Ignorantly invoking slavery or the Holocaust is an affront to those who seriously study the past.,20190825
23,Opinion,Make Denmark Another Offer for Greenland,The island is an important strategic location in a world that is realigning with unprecedented speed.,20190825
24,Opinion,Don’t Give Up on Biosimilars—Congress Can Give Them a Boost,Drugs grown in live cells are hard to replicate. But policy changes can help accelerate the process.,20190825
25,Opinion,NotableQuotable: Climate Politics,‘Inslee’s lack of success does reveal a political problem for climate advocates.’,20190825
26,Slideshow,Photos: Hong Kong Police and Protesters Engage in Violent Clashes,"In Hong Kong violence Sunday, some officers wield guns as protesters launch Molotov cocktails or bricks and fire slingshots.",20190825
