,section,headline,summary,date
0,U.S.,Leaking California Gas Well to Be Shut Down,A hearing board of the South Coast Air Quality Management District ordered SoCal Gas to seal a well that has poured natural gas over a Los Angeles neighborhood for months.,20160123
1,Slideshow,Photos: Blizzard Moves Up East Coast,"A massive winter storm arrived in the densely populated eastern U.S., dumping snow on the nation’s capital and wrecking travel plans.",20160123
2,Election 2016,GOP Candidates Make Case to Undecided Voters in New Hampshire,Centrist Republican presidential candidates sought to stress their competence and make emotional appeals to undecided voters gathered for a GOP forum Saturday.,20160123
3,Canada,Police Charge 17-Year-Old in Saskatchewan School Shooting,Canadian police said Saturday a 17-year-old male has been charged with four counts of first-degree murder and another seven counts of attempted murder in connection with a school shooting in a remote northern Saskatchewan town.,20160123
4,U.S.,Worst Northeast Snowstorms,A ranking of the biggest winter storms in the region’s history,20160123
5,Europe,Poles Protest New ‘Antidemocratic’ Laws,"Thousands took to the streets across Poland to protest measures by the country’s newly installed right-wing government, which have been criticized as anti-democratic and a threat to freedom of the media.",20160123
6,Middle East,Kerry Adamant on Syria Talks Amid Opposition Jitters,"John Kerry said U.N.-brokered Syria peace talks would go ahead, even as world powers remained divided over who will represent the fractious opposition.",20160123
7,Tennis,"China’s Zhang Shuai Winning, for a Change, in a Grand Slam","China’s Zhang Shuai, ranked No. 133 in the world, scored another  improbable victory at the Australian Open to advance to the fourth round.",20160123
8,Markets,Iran Makes First Post-Sanctions Sale of Oil to Europe,"Greece’s largest refinery has agreed to buy oil from the National Iranian Oil Co., marking the first sale of Iranian crude to a European country since the lifting of trade sanctions.",20160123
9,Tennis,Ivanovic’s Coach Nigel Sears Collapses at Australian Open,"Nigel Sears, the coach of tennis star Ana Ivanovic and father-in-law of Andy Murray, collapsed inside Rod Laver Arena at the Australian Open on Saturday and was taken from the stadium in a stretcher.",20160123
10,Middle East,Israel: Palestinian Girl Killed After Attempted Stabbing,Israeli police say a security guard shot and killed a 13-year-old Palestinian girl who tried to stab him at the entrance to a West Bank settlement.,20160123
11,The Week Ahead,"Harley Needs to Reassure Investors, Dealers","When Harley-Davidson reports quarterly earnings Thursday, management will need to reassure its own anxious dealers as well as investors singed by the motorcycle maker’s disappointing recent results.",20160123
12,Commodities,Rusal’s Oleg Deripaska Sees Base-Metal Prices Low for Longer,"Base-metal prices “may stay longer at the bottom” because of a glut in supply from China, said Oleg Deripaska, president of Russian aluminum giant United Co. Rusal.",20160123
13,Latin America,"Oil Rout Could Hit Colombia Growth  Forecast, Says Finance Minister","Colombia’s forecast economic growth rate this year is at risk because of falling oil prices, Finance Minister Mauricio Cardenas said.",20160123
14,Whats News World Wide,What’s News: World-Wide,What’s News: World-Wide Top Stories for Jan. 23,20160123
15,Opinion,Pepper...and Salt,Pepper...and Salt,20160123
16,Whats News Business Finance,What’s News: Business & Finance,What’s News: Business & Finance Top Stories for Jan. 23,20160123
17,Election 2016,Bloomberg Mulling Run for President as Independent,"Former New York Mayor Michael Bloomberg, eyeing a possible opening in the race, has asked his aides to explore a potential bid this year.",20160123
18,New York,New York Aims to Ease Storm Travel Restrictions,"The city travel ban will be lifted Sunday morning, city and state officials said.",20160123
19,U.S.,Storm Snarls Transportation Networks,"The biggest winter storm of the season brought heavy snowfalls across the mid-Atlantic, snarling transportation networks and paralyzing regional travel.",20160123
20,Tri-State Area,New York Metro Area Shuts Most Transit as Storm Intensifies,"The first winter storm of the season walloped the New York region, dropping more than 14 inches of snow on parts of New York City and up to 16 inches on parts of New Jersey.",20160123
21,U.S.,Major Winter Storm Paralyzes East Coast,Snow spread along the East Coast as a major winter storm delayed travel plans and cut power for thousands while threatening to dump 2 feet of snow on Washington.,20160123
22,Asia,Japan Inc.’s Memo to Foreign Buyers: Hands Off,Foxconn’s offer for Sharp is the most prominent example of the extra hurdles foreign investors face when looking to invest in large Japanese companies perceived to hold valuable technology.,20160123
23,Tech,Google Settles U.K. Dispute Over Taxes,"Google said that it has struck a deal with the U.K.’s tax authority that will settle a tax dispute and boost its future taxes in Britain, part of a broader effort by European governments to wring more corporate tax from big firms in the tech sector.",20160123
24,New York Mets,Cespedes Stays With Mets,"Yoenis Cespedes agreed to a new three-year contract—worth $75 million—with the New York Mets, a stunning development that could transform them into the best team in baseball.",20160123
