,section,headline,summary,date
0,Corrections,Corrections & Amplifications,"Corrections & Amplifications for edition of May 6-7, 2017.",20170505
1,U.S.,Texas Officer to Be Charged With Murder in Shooting of Black 15-Year-Old,"A Texas police officer who shot and killed a black 15-year-old boy in a Dallas suburb will face murder charges, law enforcement officials said Friday.",20170505
2,Politics,Trump’s Army Secretary Nominee Mark Green Withdraws,President Donald Trump’s nominee for secretary of the Army has pulled his name from consideration for the post after a siege by lawmakers and advocates who objected to stands he previously had taken on social issues.,20170505
3,Commodities,Commodities Rattled by Softening Demand From China,"A global commodities slump deepened Friday before prices stabilized later in the day, but iron-ore prices continued to plummet.",20170505
4,Health,FDA Approves First ALS Drug in Over Two Decades,"The Food and Drug Administration approved the first drug in more than two decades for the treatment of ALS, the paralyzing and fatal malady often called Lou Gehrig’s disease.",20170505
5,Markets,Buffett’s Berkshire Reports Drop in Net Earnings,"Warren Buffett’s Berkshire Hathaway said its first-quarter net earnings fell 27%, hurt by weaker investment gains.",20170505
6,Review & Outlook,The Labor Market Tightens,Wages are rising but there’s still a growing worker shortage.,20170505
7,Review & Outlook,A Korean Election Nail-Biter,A Trump blunder has helped the soft-on-North-Korea candidate.,20170505
8,Opinion,Big Labor Looks at California’s Marijuana Market and Sees Green,"‘This is a growing industry,’ says a Teamsters lobbyist, ‘and we’d like it to grow unionized.’",20170505
9,U.S.,Fraternity and 18 Members Charged in Penn State Student’s Death,"A Penn State fraternity pledge died after stumbling and falling several times with toxic levels of alcohol in his body and suffered for hours with severe injuries while his friends failed to summon help, authorities said Friday in announcing criminal charges against the fraternity and 18 of its members.",20170505
10,Education,Purdue Defends Plan to Acquire Kaplan in Wake of Faculty Vote,"Purdue University on Friday defended its plan to acquire Kaplan University, a day after the public university’s faculty gave a thumbs down to the deal to take over the for-profit, mostly online school.",20170505
11,Central Banks,Fed’s Williams Sees Future Balance Sheet Size Starting at $2 Trillion,"Federal Reserve Bank of San Francisco President John Williams said he could see the U.S. central bank’s balance sheet settling somewhere above $2 trillion, concurring with several estimates that have put the figure at least that high in the absence of a specific prediction from the Fed.",20170505
12,Opinion,Decades in an Asylum Wasn’t the Worst Fate,My mentally ill great-uncle spent 72 years in custody. Today he’d be isolated in a prison cell—or maybe homeless and dangerous.,20170505
13,Opinion,Let’s Get Metaphysical About Trump and the ‘Post-Truth Era’,"The nature of truth is a difficult philosophical problem, but the president hasn’t made it any harder.",20170505
14,U.S.,List of National Monuments Under Review Is Unveiled,"The Interior Department released a list of about two dozen national monuments and marine preserves to be reviewed for possible downsizing or elimination, including two of the more contentious in recent years: Bears Ears and Grand Staircase-Escalante, both in Utah.",20170505
15,Journal Reports: Funds & ETFs,How Much Do You Know About Gold Investing?,Here’s a Wall Street Journal quiz to test your knowledge about gold.,20170505
16,Masterpiece,"Stormy Mood, Tempestuous Brushstrokes",Titian portrait of ‘Doge Andrea Gritti’ is in almost the same condition as the day it left the artist’s studio.,20170505
17,Wealth Management,Podcast: Why Getting a Low-Pay Job Out of College is Good,Some students will start out in a first job that pays below the national average. Here are some of the hidden blessings.,20170505
18,Opera Review,‘Los Elementos’ Review: Far From a Force of Nature,New York City Opera stumbles with a difficult work: a plotless 18th-century allegory in which the four Elements debate their respective powers.,20170505
19,Wealth Management,How to Use ‘529’ College-Savings Plans,"Watching Your Wealth podcast: Brian Boswell, vice president at Savingforcollege.com, shares tips on how to use “529” college-savings plans.",20170505
20,Pro Bankruptcy Bankruptcy,Trustee Sues Doctors at Humble Surgical Hospital Over Alleged Billing Scam,The Texas accountant who is operating the bankrupt Humble Surgical Hospital filed a lawsuit against 104 doctors who he says participated in an illegal billing scam.,20170505
21,In Depth,National Monuments That Could Soon Be on the Chopping Block,President Trump said Wednesday he wanted to stop the “massive federal land grab” of designating national monuments in an executive order signing ceremony.,20170505
22,U.S.,Judge Sets Trial Date in ‘El Chapo’ Case for April 2018,"Attorneys for Joaquín ‘El Chapo’ Guzman, who appeared in court for the first time in three months, told a judge that the strict conditions of his solitary confinement were beginning to make communicating with their client untenable.",20170505
23,Foreign Exchange,Dollar Pares Gains After Jobs Report,The dollar pared gains Friday after a report showed U.S. hiring rebounded in April but the pace of wage growth slowed.,20170505
24,WSJ Logistics Report,April Jobs Report Hints at Growth in Logistics Industry,"Businesses tied to e-commerce fulfillment resumed hiring at a rapid clip in April, bolstering payrolls to meet changes in the consumer economy.",20170505
25,Opinion,The Post-ObamaCare Fiesta,Who was really celebrating on Thursday in Washington?,20170505
26,Business,Wireless Weakness Leads to a Verizon Warning on Credit Rating,Verizon Communications Inc. warned it won’t be able to raise its credit rating as quickly as promised after a major debt ratings firm gave the company less room for error in a sagging wireless industry.,20170505
27,Pro Bankruptcy Bankruptcy,Puerto Rico Bond Default Called Over Fiscal Plan’s Debt Cuts,"Bank of New York Mellon, the trustee for $17 billion in sales-tax bonds known as Cofinas, notified Puerto Rico in a Thursday letter that it believes events of default have occurred.",20170505
28,Central Banks,Yellen Says Family-Friendly Work Policies Can Boost Economy,Federal Reserve Chairwoman Janet Yellen said family-friendly policies that increase women’s participation in the workforce could boost economic growth and help the U.S. overcome longer-term challenges.,20170505
29,Politics,Trump Campaign Associates Questioned Over Russia Ties,"A Senate committee has asked at least four former associates of the Trump campaign for information about their activities before and after the election, a sign that the committee’s probe into alleged Russian campaign interference is heating up.",20170505
30,CMO Today Newsletter,"CMO Today: Media Investors Worry About Soft Ad-Market, Cord-Cutting","Here's your morning roundup of the biggest marketing, advertising and media industry news and happenings.",20170505
31,Credit Markets,Treasurys Steady After Jobs Report,"U.S. government bonds steadied Friday after a two-day selloff, as the latest jobs data reaffirmed expectations that the Federal Reserve will raise interest rates next month even as it failed to produce the surge in economic optimism that some had anticipated.",20170505
32,Slideshow,Photos of the Day: May 5,"In photos selected Friday by Wall Street Journal editors, Sri Lankan Buddhists prepare to celebrate Vesak Day, children become U.S. citizens at a ceremony, heavy rains flood Quebec, and more.",20170505
33,Commodities,What Selloff? Wall Street Still Bullish on Oil After Plunge,"Wall Street analysts are keeping their bullish forecasts for oil prices, despite a 13% plunge in crude over the past three weeks.",20170505
34,U.K.,U.K. Local Election Results Bode Well for May in National Vote,"The U.K.’s governing Conservative Party made significant gains in local elections, which could herald a big win for Prime Minister Theresa May in a nationwide vote next month.",20170505
35,Economy,U.S. Consumer Credit Increased by $16.43 Billion in March,"Outstanding consumer credit, a measure of non-real-estate debt, rose by $16.43 billion in March from the prior month, climbing at a 5.2% seasonally adjusted annual rate, the Federal Reserve said.",20170505
36,Opinion,We Must Be Smarter in Buying Needed Arms,Former Navy Secretary John Lehman proposes a two-pronged strategy to reduce defense procurement costs: Cost-plus contracting gives a perverse incentive to stay inefficient.,20170505
37,Opinion,Saving vs. Spending: What Is Wealth For?,"Regarding “When Good Money Habits Turn Against You”: In my retirement, I am deriving pleasure from assuming the strategy “I am through saving, now I am spending.”",20170505
38,Autos Industry,VW Diesel Cars Caught in Emissions Scandal Begin Flying Off Lots,"Volkswagen’s TDI diesel cars are back on sale in the U.S. after being yanked from the market 18 months ago over emissions issues, sparking a race among buyers for the extremely limited supply.",20170505
39,Opinion,The Bad Side Effects of Personalized Medicine,Regarding Peter Huber and Paul Howard’s “Personalized Medicine Is Here”: Big data and genetic analysis present both opportunity and danger.,20170505
40,Opinion,Former Socialiste Macron Is Not a Politician of the Center,"Regarding Joseph Sternberg’s “Emmanuel Macron as the ‘Hope of France’”: as a longtime member of the French Parti Socialiste, Macron is just a less-shaggy version of socialist Bernie Sanders, not a centrist like John Kennedy.",20170505
41,Politics,"Trump Signs $1.1 Trillion Spending Bill, Avoiding Government Shutdown","President Donald Trump on Friday signed a $1.1 trillion bill to fund the government through Sept. 30, avoiding a partial government shutdown this weekend while conceding on several of his key priorities.",20170505
42,Opinion,"We Need More Saving, Not Less: Hands Off the 401(k)s","Yes, Congress should keep the tax advantage of contributions to individual-retirement accounts, as detailed in Jason Zweig’s “The Intelligent Investor: Grab the Pitchforks, Your 401(k) May Need to Ward Off Congress”",20170505
43,Commodities,Metals: Gold Prices Fall to One-Month Low,Gold prices fell to a one-month low on Friday after U.S. jobs data showed stronger-than-expected employment in April.,20170505
44,Bookshelf,Five Best: Sarah Ruden,"The author, most recently, of “The Face of Water: A Translator on Beauty and Meaning in the Bible” on lost worlds.",20170505
45,Mind & Matter,A Twins Study Shows ADHD Isn’t Just Genetic,Research of twins suggests that Attention Deficit/Hyperactivity Disorder isn’t just genetic.,20170505
46,Books,The Best New Children’s Books,Meghan Cox Gurdon on Gaia Cornwall’s “Jabari Jumps” and other picture books.,20170505
47,Opinion,How Your Brain Digests Your Dinner,The perception and appreciation of flavor may be a uniquely human gift. Steven Poole reviews “Flavor: The Science of Our Most Neglected Sense” by Bob Holmes.,20170505
48,U.S.,Economic Change Is Slow to Come to South Los Angeles,"Twenty-five years ago this week, the Rodney King riots tore apart South Los Angeles for six days. Community leaders and entrepreneurs are still trying to revive the local economy. There are signs of success, but poverty persists.",20170505
49,Crime,NYPD Searches for Suspect in Assault of German Tourist,"Police searched for a violent robber on Friday who allegedly beat and sexually assaulted a German tourist outside of her Airbnb rental in upper Manhattan, according to Robert Boyce, chief of detectives.",20170505
50,Bookshelf,Gentriﬁcation and Its Discontents,Cities attract the rich with amenities and the poor with services. But they are failing the middle class. Edward Glaeser reviews “The New Urban Crisis” by Richard Florida.,20170505
51,Bookshelf,Murderous Mothers and Children,Sam Sacks reviews “House of Names” by Colm Tóibín and “Inheritance From Mother” by Minae Mizumura.,20170505
52,Opinion,Sam Shepard’s True West,The playwright’s drifters and dreamers do battle with destiny on a Shakespearean level. Ethan Mordden reviews “Sam Shepard” by John J. Winters.,20170505
53,Bookshelf,Here Be Dragons,Tom Shippey on two new fantasies: “Red Sister” by Mark Lawrence and “The Dragon’s Legacy” by Deborah A. Wolf.,20170505
54,Opinion,The Nuclear Winter White House,Inside the government’s elaborate plans to survive catastrophic attack. Howard Schneider reviews “Raven Rock” by Garrett M. Graff.,20170505
55,R and D,Do White House Meetings Boost a Firm’s Market Value?,Two finance professors say that executives’ meetings with top administration officials were associated with higher short-term stock returns.,20170505
56,Bookshelf,Best-Selling Books Week Ended April 30,"Best-Selling Books | Week Ended April 30, with data from NPD BookScan",20170505
